Job,Operation,Machine,Start,Duration,End,Worker
1,1,4,129,45,174,None
1,2,2,174,38,212,None
1,3,3,255,43,298,None
1,4,1,298,33,331,None
2,1,2,0,46,46,None
2,2,1,46,42,88,None
2,3,4,88,41,129,None
2,4,5,129,29,158,None
3,1,1,0,35,35,None
3,2,5,35,52,87,None
3,3,2,87,54,141,None
3,4,1,185,0,185,None
4,1,3,43,45,88,None
4,2,4,222,54,276,None
4,3,5,276,46,322,None
4,4,7,322,47,369,None
4,5,2,369,0,369,None
5,1,6,0,34,34,None
5,2,4,34,26,60,None
5,3,1,140,45,185,None
6,1,1,117,23,140,None
6,2,6,140,28,168,None
6,3,1,185,25,210,None
6,4,3,210,45,255,None
7,1,3,0,43,43,None
7,2,6,43,47,90,None
7,3,4,174,48,222,None
7,4,4,222,0,222,None
8,1,4,0,24,24,None
8,2,1,88,29,117,None
8,3,6,168,32,200,None
8,4,7,200,27,227,None
