Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,7,2,9,None
1,2,4,12,4,16,None
1,3,8,18,2,20,None
2,1,3,11,4,15,None
2,2,4,20,3,23,None
2,3,6,24,3,27,None
3,1,3,0,4,4,None
3,2,5,6,2,8,None
3,3,8,10,2,12,None
4,1,1,5,4,9,None
4,2,5,12,5,17,None
4,3,6,18,3,21,None
5,1,3,8,3,11,None
5,2,5,17,1,18,None
5,3,7,19,4,23,None
6,1,3,4,4,8,None
6,2,4,10,2,12,None
6,3,9,13,5,18,None
7,1,2,9,2,11,None
7,2,4,16,4,20,None
7,3,6,21,3,24,None
8,1,1,9,3,12,None
8,2,5,18,5,23,None
8,3,7,24,3,27,None
9,1,1,0,2,2,None
9,2,5,4,2,6,None
9,3,9,8,5,13,None
10,1,1,2,3,5,None
10,2,4,7,3,10,None
10,3,6,14,4,18,None
11,1,2,0,2,2,None
11,2,4,4,3,7,None
11,3,6,8,6,14,None
12,1,2,2,5,7,None
12,2,5,8,4,12,None
12,3,7,13,4,17,None
