Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,12,2,14,None
1,2,4,20,4,24,None
1,3,6,25,2,27,None
2,1,3,8,4,12,None
2,2,4,17,3,20,None
2,3,6,22,3,25,None
3,1,3,0,4,4,None
3,2,5,9,2,11,None
3,3,8,13,2,15,None
4,1,2,0,3,3,None
4,2,5,4,5,9,None
4,3,6,13,3,16,None
5,1,2,7,5,12,None
5,2,5,17,1,18,None
5,3,6,19,3,22,None
6,1,1,3,6,9,None
6,2,4,15,2,17,None
6,3,7,20,3,23,None
7,1,2,5,2,7,None
7,2,4,11,4,15,None
7,3,6,16,3,19,None
8,1,1,11,3,14,None
8,2,5,18,5,23,None
8,3,7,24,3,27,None
9,1,1,9,2,11,None
9,2,5,15,2,17,None
9,3,9,19,5,24,None
10,1,1,0,3,3,None
10,2,4,5,3,8,None
10,3,6,9,4,13,None
11,1,2,3,2,5,None
11,2,4,8,3,11,None
11,3,9,12,5,17,None
12,1,3,4,4,8,None
12,2,5,11,4,15,None
12,3,7,16,4,20,None
