Job,Operation,Machine,Start,Duration,End,Worker
1,1,5,0,3,3,None
1,2,5,3,3,6,None
1,3,6,6,2,8,None
2,1,3,1,3,4,None
2,2,4,6,2,8,None
2,3,7,9,1,10,None
2,4,5,10,4,14,None
3,1,7,0,2,2,None
3,2,4,2,4,6,None
3,3,1,6,1,7,None
4,1,2,0,1,1,None
4,2,6,1,5,6,None
4,3,3,6,2,8,None
5,1,1,0,3,3,None
5,2,7,3,6,9,None
5,3,6,9,2,11,None
5,4,7,11,3,14,None
6,1,3,0,1,1,None
6,2,8,1,4,5,None
6,3,2,9,5,14,None
7,1,2,1,4,5,None
7,2,8,5,5,10,None
7,3,4,10,3,13,None
8,1,1,3,2,5,None
8,2,2,5,4,9,None
8,3,8,10,1,11,None
8,4,3,11,3,14,None
