Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,8,7,15,None
1,2,1,15,8,23,None
1,3,2,47,5,52,None
1,4,3,143,7,150,None
1,5,4,163,5,168,None
1,6,4,168,5,173,None
2,1,3,21,7,28,None
2,2,2,58,5,63,None
2,3,4,63,6,69,None
2,4,2,87,6,93,None
2,5,2,119,6,125,None
3,1,4,0,7,7,None
3,2,2,40,7,47,None
3,3,1,48,5,53,None
3,4,1,92,8,100,None
3,5,2,131,5,136,None
3,6,4,146,6,152,None
3,7,2,161,6,167,None
3,8,3,171,6,177,None
4,1,1,23,5,28,None
4,2,3,28,9,37,None
4,3,1,73,8,81,None
4,4,4,104,8,112,None
4,5,1,139,8,147,None
4,6,4,158,5,163,None
4,7,4,173,6,179,None
5,1,1,2,5,7,None
5,2,2,15,7,22,None
5,3,4,37,7,44,None
5,4,3,83,8,91,None
5,5,2,112,7,119,None
5,6,2,125,6,131,None
6,1,4,23,6,29,None
6,2,4,53,5,58,None
6,3,3,67,8,75,None
6,4,1,100,5,105,None
6,5,2,105,7,112,None
6,6,4,112,8,120,None
6,7,2,149,6,155,None
6,8,1,155,8,163,None
6,9,4,179,5,184,None
7,1,3,13,8,21,None
7,2,3,45,9,54,None
7,3,2,67,5,72,None
7,4,2,93,7,100,None
7,5,3,136,7,143,None
8,1,1,30,5,35,None
8,2,3,37,8,45,None
8,3,4,69,7,76,None
8,4,1,108,5,113,None
8,5,3,113,7,120,None
8,6,4,120,8,128,None
8,7,3,150,6,156,None
8,8,2,156,5,161,None
9,1,2,22,7,29,None
9,2,4,29,8,37,None
9,3,2,72,6,78,None
9,4,2,78,5,83,None
9,5,4,83,6,89,None
9,6,1,123,8,131,None
9,7,1,147,8,155,None
9,8,2,167,6,173,None
9,9,3,177,7,184,None
10,1,2,34,6,40,None
10,2,1,40,8,48,None
10,3,1,53,8,61,None
10,4,3,61,6,67,None
10,5,1,67,6,73,None
10,6,3,75,8,83,None
10,7,3,121,7,128,None
10,8,4,128,6,134,None
10,9,2,178,6,184,None
11,1,2,1,6,7,None
11,2,1,7,8,15,None
11,3,1,61,6,67,None
11,4,3,91,7,98,None
11,5,4,98,6,104,None
11,6,3,157,8,165,None
11,7,3,165,6,171,None
12,1,4,7,8,15,None
12,2,3,54,7,61,None
12,3,4,76,7,83,None
12,4,2,100,5,105,None
12,5,3,105,8,113,None
12,6,1,115,8,123,None
13,1,4,15,8,23,None
13,2,3,99,6,105,None
13,3,1,131,8,139,None
13,4,2,142,7,149,None
13,5,4,152,6,158,None
13,6,1,171,8,179,None
13,7,1,179,5,184,None
14,1,2,29,5,34,None
14,2,1,35,5,40,None
14,3,4,44,8,52,None
14,4,2,52,6,58,None
14,5,4,58,5,63,None
14,6,4,134,6,140,None
14,7,4,140,6,146,None
15,1,3,5,8,13,None
15,2,1,81,8,89,None
15,3,4,89,9,98,None
15,4,3,129,7,136,None
15,5,2,136,6,142,None
15,6,1,163,8,171,None
15,7,2,173,5,178,None
