Job,Operation,Machine,Start,Duration,End,Worker
1,1,5,27420,1860,29280,None
1,2,3,13920,5460,19380,None
1,3,1,9660,3660,13320,None
1,4,4,6480,3180,9660,None
1,5,2,0,2220,2220,None
2,1,1,29460,3000,32460,None
2,2,2,21420,3660,25080,None
2,3,5,15900,5520,21420,None
2,4,4,2160,4320,6480,None
3,1,1,23400,6060,29460,None
3,2,3,19380,3000,22380,None
3,3,4,15060,3000,18060,None
3,4,2,9840,4200,14040,None
3,5,3,6900,1740,8640,None
4,1,2,25080,1680,26760,None
4,2,5,21420,2820,24240,None
4,3,4,11700,3360,15060,None
4,4,3,0,1080,1080,None
5,1,2,28200,1320,29520,None
5,2,4,22560,5640,28200,None
5,3,5,5880,4500,10380,None
5,4,4,0,2160,2160,None
6,1,3,27780,4200,31980,None
6,2,1,21060,2340,23400,None
6,3,4,9660,2040,11700,None
6,4,2,2220,5640,7860,None
7,1,2,29520,3000,32520,None
7,2,5,24240,3180,27420,None
7,3,1,13320,5460,18780,None
7,4,2,7860,1980,9840,None
7,5,3,1080,5820,6900,None
8,1,3,23580,4200,27780,None
8,2,1,20340,720,21060,None
8,3,4,18060,2280,20340,None
8,4,1,3480,3960,7440,None
9,1,4,20340,2220,22560,None
9,2,2,14040,1380,15420,None
9,3,3,8640,5280,13920,None
9,4,5,0,5880,5880,None
10,1,4,28200,3900,32100,None
10,2,3,22380,1200,23580,None
10,3,2,15900,2820,18720,None
10,4,5,10380,5520,15900,None
10,5,1,0,3480,3480,None
