Job,Operation,Machine,Start,Duration,End,Worker
1,1,5,115200,1860,117060,None
1,2,3,55020,5460,60480,None
1,3,1,47520,3660,51180,None
1,4,4,35280,3180,38460,None
1,5,2,32760,2220,34980,None
2,1,1,51180,3000,54180,None
2,2,2,46800,3660,50460,None
2,3,5,36300,5520,41820,None
2,4,4,30960,4320,35280,None
3,1,1,55020,6060,61080,None
3,2,3,52020,3000,55020,None
3,3,5,46800,3000,49800,None
3,4,2,36300,4200,40500,None
3,5,5,34140,2160,36300,None
4,1,2,116520,1680,118200,None
4,2,5,57720,2820,60540,None
4,3,4,52020,3360,55380,None
4,4,1,37020,1320,38340,None
5,1,2,115200,1320,116520,None
5,2,4,55380,5640,61020,None
5,3,1,32280,4740,37020,None
5,4,4,28800,2160,30960,None
6,1,3,116400,4200,120600,None
6,2,1,40500,2340,42840,None
6,3,4,38460,2040,40500,None
6,4,5,28800,5340,34140,None
7,1,4,115200,3000,118200,None
7,2,5,54540,3180,57720,None
7,3,3,46800,5220,52020,None
7,4,2,40500,1980,42480,None
7,5,3,28800,5820,34620,None
8,1,2,54840,4440,59280,None
8,2,1,46800,720,47520,None
8,3,4,40500,2280,42780,None
8,4,2,28800,3960,32760,None
9,1,4,118200,2220,120420,None
9,2,2,59280,1380,60660,None
9,3,5,49800,4740,54540,None
9,4,3,34620,5580,40200,None
10,1,1,116400,3660,120060,None
10,2,3,115200,1200,116400,None
10,3,2,52020,2820,54840,None
10,4,4,46800,5220,52020,None
10,5,1,28800,3480,32280,None
