Job,Operation,Machine,Start,Duration,End,Worker
1,1,5,3240,1860,5100,None
1,2,3,13140,5460,18600,None
1,3,1,19200,3660,22860,None
1,4,4,22860,3180,26040,None
1,5,2,30300,2220,32520,None
2,1,1,60,3000,3060,None
2,2,2,7440,3660,11100,None
2,3,5,11100,5520,16620,None
2,4,4,26040,4320,30360,None
3,1,1,3060,6060,9120,None
3,2,3,10140,3000,13140,None
3,3,4,14460,3000,17460,None
3,4,2,18480,4200,22680,None
3,5,3,23880,1740,25620,None
4,1,2,5760,1680,7440,None
4,2,5,8280,2820,11100,None
4,3,4,17460,3360,20820,None
4,4,3,31440,1080,32520,None
5,1,2,3000,1320,4320,None
5,2,4,4320,5640,9960,None
5,3,5,22140,4500,26640,None
5,4,4,30360,2160,32520,None
6,1,3,540,4200,4740,None
6,2,1,9120,2340,11460,None
6,3,4,20820,2040,22860,None
6,4,2,24660,5640,30300,None
7,1,2,0,3000,3000,None
7,2,5,5100,3180,8280,None
7,3,1,13740,5460,19200,None
7,4,2,22680,1980,24660,None
7,5,3,25620,5820,31440,None
8,1,3,4740,4200,8940,None
8,2,1,11460,720,12180,None
8,3,4,12180,2280,14460,None
8,4,1,25080,3960,29040,None
9,1,4,9960,2220,12180,None
9,2,2,17100,1380,18480,None
9,3,3,18600,5280,23880,None
9,4,5,26640,5880,32520,None
10,1,4,420,3900,4320,None
10,2,3,8940,1200,10140,None
10,3,2,13800,2820,16620,None
10,4,5,16620,5520,22140,None
10,5,1,29040,3480,32520,None
