Job,Operation,Machine,Start,Duration,End,Worker
1,1,5,3540,1860,5400,None
1,2,3,60120,5460,65580,None
1,3,1,69420,3660,73080,None
1,4,4,82140,3180,85320,None
1,5,2,85620,2220,87840,None
2,1,1,66420,3000,69420,None
2,2,2,70140,3660,73800,None
2,3,5,78780,5520,84300,None
2,4,4,85320,4320,89640,None
3,1,1,59520,6060,65580,None
3,2,3,65580,3000,68580,None
3,3,5,70800,3000,73800,None
3,4,2,80100,4200,84300,None
3,5,5,84300,2160,86460,None
4,1,2,2400,1680,4080,None
4,2,5,60060,2820,62880,None
4,3,4,65220,3360,68580,None
4,4,1,82260,1320,83580,None
5,1,2,4080,1320,5400,None
5,2,4,59580,5640,65220,None
5,3,1,83580,4740,88320,None
5,4,4,89640,2160,91800,None
6,1,3,0,4200,4200,None
6,2,1,77760,2340,80100,None
6,3,4,80100,2040,82140,None
6,4,5,86460,5340,91800,None
7,1,4,2400,3000,5400,None
7,2,5,62880,3180,66060,None
7,3,3,68580,5220,73800,None
7,4,2,78120,1980,80100,None
7,5,3,85980,5820,91800,None
8,1,2,61320,4440,65760,None
8,2,1,73080,720,73800,None
8,3,4,77820,2280,80100,None
8,4,2,87840,3960,91800,None
9,1,4,180,2220,2400,None
9,2,2,59940,1380,61320,None
9,3,5,66060,4740,70800,None
9,4,3,80400,5580,85980,None
10,1,1,540,3660,4200,None
10,2,3,4200,1200,5400,None
10,3,2,65760,2820,68580,None
10,4,4,68580,5220,73800,None
10,5,1,88320,3480,91800,None
