Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,477,333,810,None
1,2,2,954,991,1945,None
1,3,3,1945,996,2941,None
1,4,4,2941,123,3064,None
1,5,5,3064,145,3209,None
1,6,6,3209,234,3443,None
2,1,1,3505,333,3838,None
2,2,2,4210,111,4321,None
2,3,3,4753,663,5416,None
2,4,4,5648,456,6104,None
2,5,5,6104,785,6889,None
2,6,6,6889,532,7421,None
3,1,1,810,252,1062,None
3,2,2,1945,222,2167,None
3,3,3,2941,222,3163,None
3,4,4,3163,789,3952,None
3,5,5,3952,214,4166,None
3,6,6,4166,586,4752,None
4,1,1,0,222,222,None
4,2,2,222,204,426,None
4,3,3,426,114,540,None
4,4,4,540,876,1416,None
4,5,5,1416,752,2168,None
4,6,6,2168,532,2700,None
5,1,1,222,255,477,None
5,2,2,477,477,954,None
5,3,3,954,123,1077,None
5,4,4,1416,543,1959,None
5,5,5,2168,143,2311,None
5,6,6,2700,142,2842,None
6,1,1,1062,555,1617,None
6,2,2,2167,566,2733,None
6,3,3,3163,456,3619,None
6,4,4,3952,210,4162,None
6,5,5,4166,698,4864,None
6,6,6,4864,573,5437,None
7,1,1,3838,558,4396,None
7,2,2,4396,899,5295,None
7,3,3,5416,789,6205,None
7,4,4,6205,124,6329,None
7,5,5,6889,532,7421,None
7,6,6,7421,12,7433,None
8,1,1,4396,888,5284,None
8,2,2,5295,965,6260,None
8,3,3,6260,876,7136,None
8,4,4,7136,537,7673,None
8,5,5,7673,145,7818,None
8,6,6,7818,14,7832,None
9,1,1,2616,889,3505,None
9,2,2,3622,588,4210,None
9,3,3,4210,543,4753,None
9,4,4,4794,854,5648,None
9,5,5,5648,247,5895,None
9,6,6,6293,527,6820,None
10,1,1,1617,999,2616,None
10,2,2,2733,889,3622,None
10,3,3,3622,210,3832,None
10,4,4,4162,632,4794,None
10,5,5,4864,451,5315,None
10,6,6,5437,856,6293,None
