Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,222,333,555,None
1,2,2,555,991,1546,None
1,3,3,1546,996,2542,None
1,4,4,2542,123,2665,None
1,5,5,2665,145,2810,None
1,6,6,2810,234,3044,None
2,1,1,3249,333,3582,None
2,2,2,4188,111,4299,None
2,3,3,4398,663,5061,None
2,4,4,5061,456,5517,None
2,5,5,5536,785,6321,None
2,6,6,6514,532,7046,None
3,1,1,555,252,807,None
3,2,2,1546,222,1768,None
3,3,3,2542,222,2764,None
3,4,4,2764,789,3553,None
3,5,5,3553,214,3767,None
3,6,6,3767,586,4353,None
4,1,1,0,222,222,None
4,2,2,222,204,426,None
4,3,3,426,114,540,None
4,4,4,540,876,1416,None
4,5,5,1416,752,2168,None
4,6,6,2168,532,2700,None
5,1,1,3582,255,3837,None
5,2,2,4299,477,4776,None
5,3,3,5061,123,5184,None
5,4,4,5517,543,6060,None
5,5,5,6321,143,6464,None
5,6,6,7046,142,7188,None
6,1,1,1695,555,2250,None
6,2,2,2733,566,3299,None
6,3,3,3640,456,4096,None
6,4,4,4177,210,4387,None
6,5,5,4387,698,5085,None
6,6,6,5085,573,5658,None
7,1,1,4726,558,5284,None
7,2,2,5364,899,6263,None
7,3,3,6263,789,7052,None
7,4,4,7052,124,7176,None
7,5,5,7176,532,7708,None
7,6,6,7715,12,7727,None
8,1,1,807,888,1695,None
8,2,2,1768,965,2733,None
8,3,3,2764,876,3640,None
8,4,4,3640,537,4177,None
8,5,5,4177,145,4322,None
8,6,6,4353,14,4367,None
9,1,1,3837,889,4726,None
9,2,2,4776,588,5364,None
9,3,3,5364,543,5907,None
9,4,4,6060,854,6914,None
9,5,5,6914,247,7161,None
9,6,6,7188,527,7715,None
10,1,1,2250,999,3249,None
10,2,2,3299,889,4188,None
10,3,3,4188,210,4398,None
10,4,4,4398,632,5030,None
10,5,5,5085,451,5536,None
10,6,6,5658,856,6514,None
