Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,102,1,103,None
1,2,2,112,1,113,None
1,3,3,122,1,123,None
1,4,4,137,4,141,None
1,5,5,157,3,160,None
1,6,6,177,5,182,None
1,7,7,184,5,189,None
1,8,8,193,7,200,None
1,9,9,214,6,220,None
1,10,10,220,4,224,None
2,1,1,27,2,29,None
2,2,2,30,5,35,None
2,3,3,35,4,39,None
2,4,4,39,3,42,None
2,5,5,56,1,57,None
2,6,6,64,9,73,None
2,7,7,75,5,80,None
2,8,8,80,4,84,None
2,9,9,88,7,95,None
2,10,10,96,0,96,None
3,1,1,237,5,242,None
3,2,2,256,6,262,None
3,3,3,276,8,284,None
3,4,4,295,4,299,None
3,5,5,309,4,313,None
3,6,6,318,2,320,None
3,7,7,324,5,329,None
3,8,8,347,6,353,None
3,9,9,363,7,370,None
3,10,10,378,5,383,None
4,1,1,109,4,113,None
4,2,2,116,1,117,None
4,3,3,132,5,137,None
4,4,4,155,6,161,None
4,5,5,168,5,173,None
4,6,6,192,7,199,None
4,7,7,201,9,210,None
4,8,8,210,2,212,None
4,9,9,233,6,239,None
4,10,10,239,2,241,None
5,1,1,210,4,214,None
5,2,2,239,4,243,None
5,3,3,264,2,266,None
5,4,4,273,7,280,None
5,5,5,285,3,288,None
5,6,6,291,6,297,None
5,7,7,297,5,302,None
5,8,8,324,2,326,None
5,9,9,342,4,346,None
5,10,10,356,1,357,None
6,1,1,305,7,312,None
6,2,2,314,6,320,None
6,3,3,343,2,345,None
6,4,4,358,5,363,None
6,5,5,363,4,367,None
6,6,6,393,1,394,None
6,7,7,406,4,410,None
6,8,8,410,7,417,None
6,9,9,422,5,427,None
6,10,10,447,5,452,None
7,1,1,175,8,183,None
7,2,2,207,5,212,None
7,3,3,219,8,227,None
7,4,4,227,7,234,None
7,5,5,245,9,254,None
7,6,6,267,5,272,None
7,7,7,273,3,276,None
7,8,8,293,5,298,None
7,9,9,306,1,307,None
7,10,10,314,5,319,None
8,1,1,334,4,338,None
8,2,2,338,2,340,None
8,3,3,360,5,365,None
8,4,4,385,8,393,None
8,5,5,393,9,402,None
8,6,6,408,9,417,None
8,7,7,427,4,431,None
8,8,8,438,7,445,None
8,9,9,450,5,455,None
8,10,10,467,8,475,None
9,1,1,118,2,120,None
9,2,2,129,7,136,None
9,3,3,150,4,154,None
9,4,4,173,2,175,None
9,5,5,175,5,180,None
9,6,6,210,4,214,None
9,7,7,216,5,221,None
9,8,8,226,8,234,None
9,9,9,244,4,248,None
9,10,10,253,3,256,None
10,1,1,247,6,253,None
10,2,2,266,5,271,None
10,3,3,290,1,291,None
10,4,4,307,9,316,None
10,5,5,321,4,325,None
10,6,6,327,4,331,None
10,7,7,341,7,348,None
10,8,8,361,6,367,None
10,9,9,373,5,378,None
10,10,10,390,1,391,None
11,1,1,205,5,210,None
11,2,2,235,4,239,None
11,3,3,257,7,264,None
11,4,4,270,3,273,None
11,5,5,276,9,285,None
11,6,6,290,1,291,None
11,7,7,293,4,297,None
11,8,8,317,7,324,None
11,9,9,339,3,342,None
11,10,10,354,2,356,None
12,1,1,52,2,54,None
12,2,2,70,4,74,None
12,3,3,78,9,87,None
12,4,4,87,2,89,None
12,5,5,108,4,112,None
12,6,6,117,5,122,None
12,7,7,127,2,129,None
12,8,8,138,1,139,None
12,9,9,149,4,153,None
12,10,10,159,2,161,None
13,1,1,54,4,58,None
13,2,2,74,0,74,None
13,3,3,87,1,88,None
13,4,4,89,2,91,None
13,5,5,112,2,114,None
13,6,6,122,3,125,None
13,7,7,129,1,130,None
13,8,8,139,4,143,None
13,9,9,153,2,155,None
13,10,10,161,8,169,None
14,1,1,32,1,33,None
14,2,2,40,2,42,None
14,3,3,45,5,50,None
14,4,4,50,7,57,None
14,5,5,71,8,79,None
14,6,6,85,6,91,None
14,7,7,91,2,93,None
14,8,8,93,1,94,None
14,9,9,106,4,110,None
14,10,10,111,8,119,None
15,1,1,402,6,408,None
15,2,2,425,4,429,None
15,3,3,431,5,436,None
15,4,4,449,1,450,None
15,5,5,476,2,478,None
15,6,6,493,4,497,None
15,7,7,503,5,508,None
15,8,8,508,6,514,None
15,9,9,518,2,520,None
15,10,10,521,9,530,None
16,1,1,373,4,377,None
16,2,2,381,5,386,None
16,3,3,386,3,389,None
16,4,4,411,1,412,None
16,5,5,430,8,438,None
16,6,6,452,7,459,None
16,7,7,459,0,459,None
16,8,8,479,1,480,None
16,9,9,490,4,494,None
16,10,10,498,6,504,None
17,1,1,146,7,153,None
17,2,2,172,3,175,None
17,3,3,184,1,185,None
17,4,4,196,4,200,None
17,5,5,204,7,211,None
17,6,6,238,0,238,None
17,7,7,245,4,249,None
17,8,8,262,1,263,None
17,9,9,271,5,276,None
17,10,10,284,6,290,None
18,1,1,253,5,258,None
