Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,0,1,1,None
1,2,2,1,1,2,None
1,3,3,2,1,3,None
1,4,4,3,4,7,None
1,5,5,7,3,10,None
1,6,6,10,5,15,None
1,7,7,15,5,20,None
1,8,8,20,7,27,None
1,9,9,27,6,33,None
1,10,10,33,4,37,None
2,1,1,383,2,385,None
2,2,2,407,5,412,None
2,3,3,420,4,424,None
2,4,4,425,3,428,None
2,5,5,431,1,432,None
2,6,6,446,9,455,None
2,7,7,466,5,471,None
2,8,8,471,4,475,None
2,9,9,480,7,487,None
2,10,10,506,0,506,None
3,1,1,107,5,112,None
3,2,2,121,6,127,None
3,3,3,131,8,139,None
3,4,4,145,4,149,None
3,5,5,153,4,157,None
3,6,6,174,2,176,None
3,7,7,186,5,191,None
3,8,8,191,6,197,None
3,9,9,205,7,212,None
3,10,10,212,5,217,None
4,1,1,191,4,195,None
4,2,2,198,1,199,None
4,3,3,208,5,213,None
4,4,4,217,6,223,None
4,5,5,241,5,246,None
4,6,6,247,7,254,None
4,7,7,272,9,281,None
4,8,8,281,2,283,None
4,9,9,299,6,305,None
4,10,10,305,2,307,None
5,1,1,307,4,311,None
5,2,2,332,4,336,None
5,3,3,340,2,342,None
5,4,4,346,7,353,None
5,5,5,357,3,360,None
5,6,6,364,6,370,None
5,7,7,379,5,384,None
5,8,8,397,2,399,None
5,9,9,417,4,421,None
5,10,10,429,1,430,None
6,1,1,51,7,58,None
6,2,2,58,6,64,None
6,3,3,65,2,67,None
6,4,4,76,5,81,None
6,5,5,83,4,87,None
6,6,6,95,1,96,None
6,7,7,107,4,111,None
6,8,8,119,7,126,None
6,9,9,127,5,132,None
6,10,10,141,5,146,None
7,1,1,276,8,284,None
7,2,2,296,5,301,None
7,3,3,308,8,316,None
7,4,4,316,7,323,None
7,5,5,323,9,332,None
7,6,6,335,5,340,None
7,7,7,357,3,360,None
7,8,8,372,5,377,None
7,9,9,397,1,398,None
7,10,10,406,5,411,None
8,1,1,112,4,116,None
8,2,2,127,2,129,None
8,3,3,139,5,144,None
8,4,4,149,8,157,None
8,5,5,157,9,166,None
8,6,6,176,9,185,None
8,7,7,191,4,195,None
8,8,8,197,7,204,None
8,9,9,212,5,217,None
8,10,10,217,8,225,None
9,1,1,195,2,197,None
9,2,2,199,7,206,None
9,3,3,213,4,217,None
9,4,4,223,2,225,None
9,5,5,246,5,251,None
9,6,6,254,4,258,None
9,7,7,281,5,286,None
9,8,8,286,8,294,None
9,9,9,305,4,309,None
9,10,10,309,3,312,None
10,1,1,197,6,203,None
10,2,2,206,5,211,None
10,3,3,217,1,218,None
10,4,4,225,9,234,None
10,5,5,251,4,255,None
10,6,6,258,4,262,None
10,7,7,286,7,293,None
10,8,8,294,6,300,None
10,9,9,309,5,314,None
10,10,10,314,1,315,None
11,1,1,249,5,254,None
11,2,2,265,4,269,None
11,3,3,269,7,276,None
11,4,4,276,3,279,None
11,5,5,294,9,303,None
11,6,6,314,1,315,None
11,7,7,327,4,331,None
11,8,8,337,7,344,None
11,9,9,363,3,366,None
11,10,10,370,2,372,None
12,1,1,88,2,90,None
12,2,2,99,4,103,None
12,3,3,103,9,112,None
12,4,4,112,2,114,None
12,5,5,128,4,132,None
12,6,6,145,5,150,None
12,7,7,150,2,152,None
12,8,8,160,1,161,None
12,9,9,176,4,180,None
12,10,10,185,2,187,None
13,1,1,47,4,51,None
13,2,2,52,0,52,None
13,3,3,64,1,65,None
13,4,4,74,2,76,None
13,5,5,81,2,83,None
13,6,6,92,3,95,None
13,7,7,106,1,107,None
13,8,8,115,4,119,None
13,9,9,125,2,127,None
13,10,10,133,8,141,None
14,1,1,75,1,76,None
14,2,2,87,2,89,None
14,3,3,89,5,94,None
14,4,4,102,7,109,None
14,5,5,114,8,122,None
14,6,6,125,6,131,None
14,7,7,135,2,137,None
14,8,8,148,1,149,None
14,9,9,161,4,165,None
