Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,772,59,831,None
1,2,2,838,11,849,None
1,3,3,929,4,933,None
1,4,4,1061,79,1140,None
1,5,5,1142,94,1236,None
1,6,6,1267,31,1298,None
1,7,7,1298,74,1372,None
1,8,8,1376,82,1458,None
1,9,9,1473,53,1526,None
1,10,10,1526,51,1577,None
1,11,11,1577,19,1596,None
1,12,12,1684,31,1715,None
1,13,13,1802,46,1848,None
1,14,14,1848,47,1895,None
1,15,15,1895,10,1905,None
2,1,1,259,72,331,None
2,2,2,393,54,447,None
2,3,3,548,36,584,None
2,4,4,642,3,645,None
2,5,5,650,59,709,None
2,6,6,709,23,732,None
2,7,7,787,40,827,None
2,8,8,857,59,916,None
2,9,9,921,89,1010,None
2,10,10,1029,37,1066,None
2,11,11,1084,85,1169,None
2,12,12,1169,67,1236,None
2,13,13,1236,39,1275,None
2,14,14,1317,65,1382,None
2,15,15,1384,60,1444,None
3,1,1,659,92,751,None
3,2,2,751,26,777,None
3,3,3,862,15,877,None
3,4,4,931,81,1012,None
3,5,5,1012,86,1098,None
3,6,6,1113,56,1169,None
3,7,7,1169,92,1261,None
3,8,8,1261,47,1308,None
3,9,9,1319,93,1412,None
3,10,10,1412,21,1433,None
3,11,11,1491,40,1531,None
3,12,12,1561,77,1638,None
3,13,13,1643,84,1727,None
3,14,14,1731,10,1741,None
3,15,15,1796,91,1887,None
4,1,1,187,49,236,None
4,2,2,282,27,309,None
4,3,3,357,99,456,None
4,4,4,456,64,520,None
4,5,5,551,30,581,None
4,6,6,633,51,684,None
4,7,7,684,26,710,None
4,8,8,710,89,799,None
4,9,9,799,40,839,None
4,10,10,870,64,934,None
4,11,11,934,60,994,None
4,12,12,994,67,1061,None
4,13,13,1071,67,1138,None
4,14,14,1155,100,1255,None
4,15,15,1255,3,1258,None
5,1,1,915,42,957,None
5,2,2,984,12,996,None
5,3,3,1049,55,1104,None
5,4,4,1298,62,1360,None
5,5,5,1360,37,1397,None
5,6,6,1470,24,1494,None
5,7,7,1514,24,1538,None
5,8,8,1553,42,1595,None
5,9,9,1652,41,1693,None
5,10,10,1769,88,1857,None
5,11,11,1857,14,1871,None
5,12,12,1886,33,1919,None
5,13,13,1919,85,2004,None
5,14,14,2004,4,2008,None
5,15,15,2008,20,2028,None
6,1,1,751,21,772,None
6,2,2,777,61,838,None
6,3,3,877,52,929,None
6,4,4,1012,49,1061,None
6,5,5,1098,44,1142,None
6,6,6,1169,98,1267,None
6,7,7,1267,26,1293,None
6,8,8,1308,68,1376,None
6,9,9,1412,61,1473,None
6,10,10,1473,25,1498,None
6,11,11,1531,6,1537,None
6,12,12,1638,46,1684,None
6,13,13,1727,75,1802,None
6,14,14,1802,37,1839,None
6,15,15,1887,5,1892,None
7,1,1,408,80,488,None
7,2,2,488,99,587,None
7,3,3,587,88,675,None
7,4,4,727,83,810,None
7,5,5,810,11,821,None
7,6,6,821,93,914,None
7,7,7,916,47,963,None
7,8,8,963,80,1043,None
7,9,9,1044,100,1144,None
7,10,10,1144,87,1231,None
7,11,11,1254,84,1338,None
7,12,12,1338,17,1355,None
7,13,13,1360,43,1403,None
7,14,14,1469,93,1562,None
7,15,15,1562,58,1620,None
8,1,1,911,4,915,None
8,2,2,930,54,984,None
8,3,3,1006,43,1049,None
8,4,4,1235,63,1298,None
8,5,5,1314,44,1358,None
8,6,6,1392,78,1470,None
8,7,7,1470,44,1514,None
8,8,8,1514,39,1553,None
8,9,9,1576,76,1652,None
8,10,10,1670,99,1769,None
8,11,11,1769,29,1798,None
8,12,12,1848,38,1886,None
8,13,13,1894,14,1908,None
8,14,14,1908,75,1983,None
8,15,15,1983,25,2008,None
9,1,1,488,46,534,None
9,2,2,587,23,610,None
9,3,3,675,54,729,None
9,4,4,810,77,887,None
9,5,5,887,60,947,None
9,6,6,947,53,1000,None
9,7,7,1000,42,1042,None
9,8,8,1043,72,1115,None
9,9,9,1144,90,1234,None
9,10,10,1234,11,1245,None
9,11,11,1338,22,1360,None
9,12,12,1360,68,1428,None
9,13,13,1428,94,1522,None
9,14,14,1562,24,1586,None
9,15,15,1620,14,1634,None
10,1,1,236,23,259,None
10,2,2,309,84,393,None
10,3,3,456,92,548,None
10,4,4,548,94,642,None
10,5,5,642,8,650,None
10,6,6,684,10,694,None
10,7,7,710,77,787,None
10,8,8,799,58,857,None
10,9,9,857,64,921,None
10,10,10,934,95,1029,None
10,11,11,1029,55,1084,None
10,12,12,1084,15,1099,None
10,13,13,1138,19,1157,None
10,14,14,1255,62,1317,None
10,15,15,1317,67,1384,None
11,1,1,606,53,659,None
11,2,2,659,91,750,None
11,3,3,782,80,862,None
11,4,4,923,8,931,None
11,5,5,956,41,997,None
11,6,6,1024,89,1113,None
11,7,7,1122,3,1125,None
