Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,869,59,928,None
1,2,2,1003,11,1014,None
1,3,3,1120,4,1124,None
1,4,4,1214,79,1293,None
1,5,5,1293,94,1387,None
1,6,6,1387,31,1418,None
1,7,7,1491,74,1565,None
1,8,8,1565,82,1647,None
1,9,9,1647,53,1700,None
1,10,10,1708,51,1759,None
1,11,11,1763,19,1782,None
1,12,12,1782,31,1813,None
1,13,13,1830,46,1876,None
1,14,14,1921,47,1968,None
1,15,15,1988,10,1998,None
2,1,1,239,72,311,None
2,2,2,360,54,414,None
2,3,3,462,36,498,None
2,4,4,498,3,501,None
2,5,5,579,59,638,None
2,6,6,680,23,703,None
2,7,7,703,40,743,None
2,8,8,792,59,851,None
2,9,9,867,89,956,None
2,10,10,956,37,993,None
2,11,11,993,85,1078,None
2,12,12,1078,67,1145,None
2,13,13,1145,39,1184,None
2,14,14,1232,65,1297,None
2,15,15,1297,60,1357,None
3,1,1,536,92,628,None
3,2,2,628,26,654,None
3,3,3,732,15,747,None
3,4,4,806,81,887,None
3,5,5,887,86,973,None
3,6,6,973,56,1029,None
3,7,7,1054,92,1146,None
3,8,8,1146,47,1193,None
3,9,9,1195,93,1288,None
3,10,10,1351,21,1372,None
3,11,11,1372,40,1412,None
3,12,12,1448,77,1525,None
3,13,13,1525,84,1609,None
3,14,14,1655,10,1665,None
3,15,15,1712,91,1803,None
4,1,1,628,49,677,None
4,2,2,677,27,704,None
4,3,3,747,99,846,None
4,4,4,887,64,951,None
4,5,5,973,30,1003,None
4,6,6,1029,51,1080,None
4,7,7,1146,26,1172,None
4,8,8,1193,89,1282,None
4,9,9,1288,40,1328,None
4,10,10,1372,64,1436,None
4,11,11,1436,60,1496,None
4,12,12,1525,67,1592,None
4,13,13,1609,67,1676,None
4,14,14,1676,100,1776,None
4,15,15,1803,3,1806,None
5,1,1,81,42,123,None
5,2,2,148,12,160,None
5,3,3,241,55,296,None
5,4,4,304,62,366,None
5,5,5,366,37,403,None
5,6,6,426,24,450,None
5,7,7,470,24,494,None
5,8,8,509,42,551,None
5,9,9,585,41,626,None
5,10,10,684,88,772,None
5,11,11,772,14,786,None
5,12,12,789,33,822,None
5,13,13,832,85,917,None
5,14,14,917,4,921,None
5,15,15,932,20,952,None
6,1,1,677,21,698,None
6,2,2,704,61,765,None
6,3,3,846,52,898,None
6,4,4,951,49,1000,None
6,5,5,1003,44,1047,None
6,6,6,1080,98,1178,None
6,7,7,1178,26,1204,None
6,8,8,1282,68,1350,None
6,9,9,1350,61,1411,None
6,10,10,1436,25,1461,None
6,11,11,1496,6,1502,None
6,12,12,1592,46,1638,None
6,13,13,1676,75,1751,None
6,14,14,1776,37,1813,None
6,15,15,1813,5,1818,None
7,1,1,395,80,475,None
7,2,2,475,99,574,None
7,3,3,574,88,662,None
7,4,4,665,83,748,None
7,5,5,762,11,773,None
7,6,6,844,93,937,None
7,7,7,937,47,984,None
7,8,8,984,80,1064,None
7,9,9,1064,100,1164,None
7,10,10,1164,87,1251,None
7,11,11,1251,84,1335,None
7,12,12,1335,17,1352,None
7,13,13,1364,43,1407,None
7,14,14,1468,93,1561,None
7,15,15,1561,58,1619,None
8,1,1,77,4,81,None
8,2,2,94,54,148,None
8,3,3,198,43,241,None
8,4,4,241,63,304,None
8,5,5,304,44,348,None
8,6,6,348,78,426,None
8,7,7,426,44,470,None
8,8,8,470,39,509,None
8,9,9,509,76,585,None
8,10,10,585,99,684,None
8,11,11,684,29,713,None
8,12,12,751,38,789,None
8,13,13,818,14,832,None
8,14,14,832,75,907,None
8,15,15,907,25,932,None
9,1,1,140,46,186,None
9,2,2,246,23,269,None
9,3,3,328,54,382,None
9,4,4,401,77,478,None
9,5,5,478,60,538,None
9,6,6,538,53,591,None
9,7,7,591,42,633,None
9,8,8,633,72,705,None
9,9,9,720,90,810,None
9,10,10,861,11,872,None
9,11,11,883,22,905,None
9,12,12,958,68,1026,None
9,13,13,1026,94,1120,None
9,14,14,1120,24,1144,None
9,15,15,1144,14,1158,None
10,1,1,846,23,869,None
10,2,2,919,84,1003,None
10,3,3,1028,92,1120,None
10,4,4,1120,94,1214,None
10,5,5,1239,8,1247,None
10,6,6,1327,10,1337,None
10,7,7,1414,77,1491,None
10,8,8,1491,58,1549,None
10,9,9,1549,64,1613,None
10,10,10,1613,95,1708,None
10,11,11,1708,55,1763,None
10,12,12,1763,15,1778,None
10,13,13,1811,19,1830,None
10,14,14,1859,62,1921,None
10,15,15,1921,67,1988,None
11,1,1,186,53,239,None
11,2,2,269,91,360,None
11,3,3,382,80,462,None
11,4,4,478,8,486,None
11,5,5,538,41,579,None
11,6,6,591,89,680,None
11,7,7,680,3,683,None
11,8,8,705,87,792,None
11,9,9,810,57,867,None
11,10,10,872,75,947,None
11,11,11,947,37,984,None
11,12,12,1026,8,1034,None
