Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,20220,5400,25620,None
1,2,2,25740,4620,30360,None
1,3,3,30360,1980,32340,None
1,4,4,34980,600,35580,None
1,5,5,40560,1080,41640,None
2,1,1,4440,720,5160,None
2,2,2,8700,3420,12120,None
2,3,3,12120,4620,16740,None
2,4,4,16740,1140,17880,None
2,5,5,17880,5640,23520,None
3,1,1,5160,2580,7740,None
3,2,2,12120,1440,13560,None
3,3,3,16740,2580,19320,None
3,4,4,19320,3720,23040,None
3,5,5,23520,2160,25680,None
4,1,1,17040,3180,20220,None
4,2,2,24120,1620,25740,None
4,3,3,27540,2220,29760,None
4,4,4,34260,720,34980,None
4,5,5,40380,180,40560,None
5,1,1,3360,1080,4440,None
5,2,2,5340,3360,8700,None
5,3,3,8700,2940,11640,None
5,4,4,11640,480,12120,None
5,5,5,12480,4380,16860,None
6,1,1,10860,600,11460,None
6,2,2,19260,1200,20460,None
6,3,3,21480,5220,26700,None
6,4,4,26700,2460,29160,None
6,5,5,30540,4500,35040,None
7,1,1,0,3360,3360,None
7,2,2,3360,1980,5340,None
7,3,3,5340,300,5640,None
7,4,4,5640,960,6600,None
7,5,5,6600,5880,12480,None
8,1,1,7740,3120,10860,None
8,2,2,13560,5700,19260,None
8,3,3,19320,2160,21480,None
8,4,4,23040,1080,24120,None
8,5,5,25680,4860,30540,None
9,1,1,25620,1380,27000,None
9,2,2,30360,4680,35040,None
9,3,3,35040,1800,36840,None
9,4,4,36840,4680,41520,None
9,5,5,41640,5040,46680,None
10,1,1,11460,5580,17040,None
10,2,2,20460,3660,24120,None
10,3,3,26700,840,27540,None
10,4,4,29160,5100,34260,None
10,5,5,35040,5340,40380,None
