Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,51360,5400,56760,None
1,2,2,115200,4620,119820,None
1,3,3,119820,1980,121800,None
1,4,4,123900,600,124500,None
1,5,5,133200,1080,134280,None
2,1,1,32160,720,32880,None
2,2,2,34140,3420,37560,None
2,3,3,37560,4620,42180,None
2,4,4,46800,1140,47940,None
2,5,5,47940,5640,53580,None
3,1,1,38460,2580,41040,None
3,2,2,46800,1440,48240,None
3,3,3,48240,2580,50820,None
3,4,4,53040,3720,56760,None
3,5,5,58920,2160,61080,None
4,1,1,46800,3180,49980,None
4,2,2,52800,1620,54420,None
4,3,3,115200,2220,117420,None
4,4,4,117660,720,118380,None
4,5,5,124080,180,124260,None
5,1,1,41040,1080,42120,None
5,2,2,48240,3360,51600,None
5,3,3,51600,2940,54540,None
5,4,4,56760,480,57240,None
5,5,5,115200,4380,119580,None
6,1,1,42120,600,42720,None
6,2,2,51600,1200,52800,None
6,3,3,54540,5220,59760,None
6,4,4,115200,2460,117660,None
6,5,5,119580,4500,124080,None
7,1,1,28800,3360,32160,None
7,2,2,32160,1980,34140,None
7,3,3,34140,300,34440,None
7,4,4,34440,960,35400,None
7,5,5,35400,5880,41280,None
8,1,1,56760,3120,59880,None
8,2,2,119820,5700,125520,None
8,3,3,125520,2160,127680,None
8,4,4,127680,1080,128760,None
8,5,5,134280,4860,139140,None
9,1,1,49980,1380,51360,None
9,2,2,54420,4680,59100,None
9,3,3,117420,1800,119220,None
9,4,4,119220,4680,123900,None
9,5,5,124260,5040,129300,None
10,1,1,32880,5580,38460,None
10,2,2,38460,3660,42120,None
10,3,3,42180,840,43020,None
10,4,4,47940,5100,53040,None
10,5,5,53580,5340,58920,None
