Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,18480,5400,23880,None
1,2,2,24720,4620,29340,None
1,3,3,32280,1980,34260,None
1,4,4,34740,600,35340,None
1,5,5,40740,1080,41820,None
2,1,1,4440,720,5160,None
2,2,2,8700,3420,12120,None
2,3,3,12120,4620,16740,None
2,4,4,16740,1140,17880,None
2,5,5,17880,5640,23520,None
3,1,1,15300,2580,17880,None
3,2,2,22080,1440,23520,None
3,3,3,24480,2580,27060,None
3,4,4,28380,3720,32100,None
3,5,5,34080,2160,36240,None
4,1,1,12120,3180,15300,None
4,2,2,20460,1620,22080,None
4,3,3,22260,2220,24480,None
4,4,4,27660,720,28380,None
4,5,5,33900,180,34080,None
5,1,1,3360,1080,4440,None
5,2,2,5340,3360,8700,None
5,3,3,8700,2940,11640,None
5,4,4,11640,480,12120,None
5,5,5,12480,4380,16860,None
6,1,1,17880,600,18480,None
6,2,2,23520,1200,24720,None
6,3,3,27060,5220,32280,None
6,4,4,32280,2460,34740,None
6,5,5,36240,4500,40740,None
7,1,1,0,3360,3360,None
7,2,2,3360,1980,5340,None
7,3,3,5340,300,5640,None
7,4,4,5640,960,6600,None
7,5,5,6600,5880,12480,None
8,1,1,23880,3120,27000,None
8,2,2,29340,5700,35040,None
8,3,3,35040,2160,37200,None
8,4,4,37200,1080,38280,None
8,5,5,41820,4860,46680,None
9,1,1,10740,1380,12120,None
9,2,2,15780,4680,20460,None
9,3,3,20460,1800,22260,None
9,4,4,22980,4680,27660,None
9,5,5,28860,5040,33900,None
10,1,1,5160,5580,10740,None
10,2,2,12120,3660,15780,None
10,3,3,16740,840,17580,None
10,4,4,17880,5100,22980,None
10,5,5,23520,5340,28860,None
