Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,55680,5400,61080,None
1,2,2,120900,4620,125520,None
1,3,3,125520,1980,127500,None
1,4,4,127500,600,128100,None
1,5,5,128220,1080,129300,None
2,1,1,40800,720,41520,None
2,2,2,51480,3420,54900,None
2,3,3,54900,4620,59520,None
2,4,4,115200,1140,116340,None
2,5,5,120240,5640,125880,None
3,1,1,49980,2580,52560,None
3,2,2,56520,1440,57960,None
3,3,3,117420,2580,120000,None
3,4,4,120000,3720,123720,None
3,5,5,126060,2160,128220,None
4,1,1,46800,3180,49980,None
4,2,2,54900,1620,56520,None
4,3,3,115200,2220,117420,None
4,4,4,117420,720,118140,None
4,5,5,125880,180,126060,None
5,1,1,32760,1080,33840,None
5,2,2,35340,3360,38700,None
5,3,3,46800,2940,49740,None
5,4,4,49740,480,50220,None
5,5,5,51300,4380,55680,None
6,1,1,32160,600,32760,None
6,2,2,34140,1200,35340,None
6,3,3,35340,5220,40560,None
6,4,4,40560,2460,43020,None
6,5,5,46800,4500,51300,None
7,1,1,28800,3360,32160,None
7,2,2,32160,1980,34140,None
7,3,3,34140,300,34440,None
7,4,4,34440,960,35400,None
7,5,5,35400,5880,41280,None
8,1,1,52560,3120,55680,None
8,2,2,115200,5700,120900,None
8,3,3,120900,2160,123060,None
8,4,4,123720,1080,124800,None
8,5,5,133200,4860,138060,None
9,1,1,39420,1380,40800,None
9,2,2,46800,4680,51480,None
9,3,3,51480,1800,53280,None
9,4,4,55680,4680,60360,None
9,5,5,115200,5040,120240,None
10,1,1,33840,5580,39420,None
10,2,2,39420,3660,43080,None
10,3,3,49740,840,50580,None
10,4,4,50580,5100,55680,None
10,5,5,55680,5340,61020,None
