group,case,min.,max.,avg.,std.,1,2,3,4,5,6,7,8,9,10
GA_FjspNew_dpox,mk1,40.0,42.0,41.80,0.60,42,40,42,42,42,42,42,42,42,42
GA_FjspNew_dpox,mk10,223.0,232.0,227.70,2.65,232,223,231,227,231,226,227,227,227,226
GA_FjspNew_dpox,mk2,27.0,28.0,27.60,0.49,28,27,27,28,28,28,27,27,28,28
GA_FjspNew_dpox,mk3,204.0,204.0,204.00,0.00,204,204,204,204,204,204,204,204,204,204
GA_FjspNew_dpox,mk4,66.0,71.0,67.30,1.27,67,67,67,67,67,71,66,67,67,67
GA_FjspNew_dpox,mk5,176.0,180.0,178.70,1.27,180,176,179,180,179,178,180,179,179,177
GA_FjspNew_dpox,mk6,65.0,67.0,66.40,0.80,66,67,67,66,65,67,67,67,67,65
GA_FjspNew_dpox,mk7,145.0,149.0,147.40,1.20,145,147,148,149,147,148,146,148,147,149
GA_FjspNew_dpox,mk8,523.0,523.0,523.00,0.00,523,523,523,523,523,523,523,523,523,523
GA_FjspNew_dpox,mk9,309.0,316.0,312.90,1.97,309,313,316,313,314,315,314,313,311,311
