Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,0,4,4,None
1,2,5,4,3,7,None
1,3,6,19,2,21,None
1,4,1,21,1,22,None
1,5,3,22,1,23,None
1,6,3,28,6,34,None
2,1,2,0,6,6,None
2,2,3,6,1,7,None
2,3,1,7,2,9,None
2,4,4,9,6,15,None
2,5,1,16,1,17,None
3,1,2,12,6,18,None
3,2,3,18,4,22,None
3,3,1,22,1,23,None
3,4,6,35,6,41,None
3,5,1,41,1,42,None
4,1,1,0,1,1,None
4,2,2,6,6,12,None
4,3,3,12,1,13,None
4,4,5,13,3,16,None
4,5,6,27,2,29,None
5,1,5,0,3,3,None
5,2,1,3,1,4,None
5,3,2,18,6,24,None
5,4,3,24,4,28,None
5,5,4,28,6,34,None
5,6,3,34,4,38,None
6,1,3,7,4,11,None
6,2,1,11,2,13,None
6,3,3,13,4,17,None
6,4,2,24,6,30,None
6,5,1,30,1,31,None
6,6,1,31,3,34,None
7,1,6,11,1,12,None
7,2,1,13,3,16,None
7,3,6,29,6,35,None
7,4,5,35,1,36,None
7,5,3,38,1,39,None
8,1,6,9,2,11,None
8,2,6,12,6,18,None
8,3,1,18,1,19,None
8,4,2,30,6,36,None
8,5,2,36,6,42,None
9,1,6,0,1,1,None
9,2,1,1,1,2,None
9,3,4,2,3,5,None
9,4,1,5,2,7,None
9,5,6,21,6,27,None
9,6,4,34,6,40,None
10,1,6,1,2,3,None
10,2,6,3,6,9,None
10,3,5,9,3,12,None
10,4,6,18,1,19,None
10,5,4,19,6,25,None
10,6,4,25,2,27,None
