Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,0,6,6,None
1,2,7,15,9,24,None
1,3,6,31,7,38,None
1,4,4,42,2,44,None
1,5,8,46,9,55,None
1,6,2,55,3,58,None
1,7,5,58,5,63,None
1,8,6,63,1,64,None
2,1,6,0,1,1,None
2,2,6,13,1,14,None
2,3,1,30,6,36,None
2,4,3,36,1,37,None
2,5,2,37,3,40,None
2,6,6,40,2,42,None
2,7,7,60,2,62,None
3,1,6,5,1,6,None
3,2,2,6,3,9,None
3,3,4,12,4,16,None
3,4,4,16,2,18,None
3,5,3,58,7,65,None
3,6,3,65,1,66,None
4,1,7,11,2,13,None
4,2,1,18,6,24,None
4,3,7,24,9,33,None
4,4,3,35,1,36,None
4,5,5,36,7,43,None
5,1,7,0,2,2,None
5,2,7,2,9,11,None
5,3,3,12,1,13,None
5,4,3,19,9,28,None
5,5,3,28,7,35,None
5,6,3,39,2,41,None
5,7,4,44,5,49,None
6,1,6,1,2,3,None
6,2,3,3,1,4,None
6,3,3,13,2,15,None
6,4,6,19,1,20,None
6,5,4,20,5,25,None
6,6,8,37,9,46,None
6,7,3,51,7,58,None
6,8,6,58,1,59,None
6,9,1,61,6,67,None
7,1,5,0,5,5,None
7,2,3,5,7,12,None
7,3,6,16,1,17,None
7,4,6,17,2,19,None
7,5,3,41,1,42,None
8,1,4,0,5,5,None
8,2,5,5,5,10,None
8,3,2,10,3,13,None
8,4,6,21,2,23,None
8,5,6,23,1,24,None
8,6,7,51,9,60,None
9,1,1,6,6,12,None
9,2,1,12,6,18,None
9,3,3,18,1,19,None
9,4,8,19,9,28,None
9,5,4,28,2,30,None
9,6,6,30,1,31,None
9,7,7,33,2,35,None
9,8,1,48,7,55,None
9,9,2,58,3,61,None
10,1,5,10,5,15,None
10,2,1,24,6,30,None
10,3,7,35,2,37,None
10,4,4,37,5,42,None
10,5,7,42,9,51,None
11,1,8,0,9,9,None
11,2,1,42,6,48,None
11,3,3,49,2,51,None
11,4,4,51,2,53,None
12,1,4,5,2,7,None
12,2,6,14,1,15,None
12,3,1,36,6,42,None
12,4,3,42,7,49,None
12,5,8,55,9,64,None
12,6,7,64,2,66,None
13,1,6,3,2,5,None
13,2,6,6,7,13,None
13,3,6,15,1,16,None
13,4,5,20,5,25,None
14,1,5,15,5,20,None
14,2,6,20,1,21,None
14,3,4,25,2,27,None
15,1,4,7,5,12,None
15,2,7,13,2,15,None
15,3,8,28,9,37,None
15,4,3,37,2,39,None
15,5,7,39,1,40,None
15,6,1,55,6,61,None
