group,case,min.,max.,avg.,std.,1,2,3,4,5,6,7,8,9,10
GA_FjspNew_ipox,mk1,40.0,42.0,40.90,0.94,40,40,42,42,42,40,40,42,41,40
GA_FjspNew_ipox,mk10,227.0,236.0,232.20,2.89,231,228,234,232,234,236,231,233,236,227
GA_FjspNew_ipox,mk2,27.0,28.0,27.80,0.40,28,28,28,27,28,28,28,27,28,28
GA_FjspNew_ipox,mk3,204.0,204.0,204.00,0.00,204,204,204,204,204,204,204,204,204,204
GA_FjspNew_ipox,mk4,67.0,71.0,67.50,1.20,67,67,67,68,67,67,67,67,71,67
GA_FjspNew_ipox,mk5,176.0,181.0,178.80,1.54,179,181,181,179,178,177,178,176,180,179
GA_FjspNew_ipox,mk6,64.0,67.0,66.20,0.98,64,67,67,66,67,67,66,67,65,66
GA_FjspNew_ipox,mk7,143.0,149.0,147.80,1.83,146,149,149,149,148,148,149,149,143,148
GA_FjspNew_ipox,mk8,523.0,523.0,523.00,0.00,523,523,523,523,523,523,523,523,523,523
GA_FjspNew_ipox,mk9,307.0,318.0,311.90,3.65,317,311,311,309,318,315,307,307,313,311
