Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,6,6,12,None
1,2,7,20,9,29,None
1,3,6,29,7,36,None
1,4,4,39,2,41,None
1,5,8,46,9,55,None
1,6,3,55,2,57,None
1,7,5,57,5,62,None
1,8,6,62,1,63,None
2,1,6,1,1,2,None
2,2,6,4,1,5,None
2,3,1,24,6,30,None
2,4,3,35,1,36,None
2,5,2,36,3,39,None
2,6,6,40,2,42,None
2,7,7,55,2,57,None
3,1,6,0,1,1,None
3,2,2,1,3,4,None
3,3,7,4,1,5,None
3,4,4,12,2,14,None
3,5,1,48,7,55,None
3,6,3,66,1,67,None
4,1,7,2,2,4,None
4,2,1,36,6,42,None
4,3,7,42,9,51,None
4,4,3,52,1,53,None
4,5,4,58,5,63,None
5,1,7,0,2,2,None
5,2,1,12,6,18,None
5,3,3,18,1,19,None
5,4,3,19,9,28,None
5,5,3,38,7,45,None
5,6,2,45,3,48,None
5,7,4,48,5,53,None
6,1,6,2,2,4,None
6,2,3,9,1,10,None
6,3,7,10,1,11,None
6,4,6,13,1,14,None
6,5,4,14,5,19,None
6,6,8,19,9,28,None
6,7,3,45,7,52,None
6,8,6,52,1,53,None
6,9,1,55,6,61,None
7,1,5,0,5,5,None
7,2,3,10,7,17,None
7,3,6,17,1,18,None
7,4,6,18,2,20,None
7,5,6,42,7,49,None
8,1,4,7,5,12,None
8,2,5,12,5,17,None
8,3,2,17,3,20,None
8,4,6,20,2,22,None
8,5,6,22,1,23,None
8,6,7,29,9,38,None
9,1,1,0,6,6,None
9,2,7,11,9,20,None
9,3,4,20,4,24,None
9,4,8,28,9,37,None
9,5,4,37,2,39,None
9,6,6,39,1,40,None
9,7,7,40,2,42,None
9,8,3,57,7,64,None
9,9,3,64,2,66,None
10,1,5,5,5,10,None
10,2,1,42,6,48,None
10,3,7,51,2,53,None
10,4,4,53,5,58,None
10,5,7,58,9,67,None
11,1,3,0,9,9,None
11,2,1,30,6,36,None
11,3,3,36,2,38,None
11,4,4,41,2,43,None
12,1,4,0,2,2,None
12,2,6,5,1,6,None
12,3,1,18,6,24,None
12,4,3,28,7,35,None
12,5,8,37,9,46,None
12,6,7,53,2,55,None
13,1,6,14,2,16,None
13,2,3,17,1,18,None
13,3,6,23,1,24,None
13,4,5,24,5,29,None
14,1,6,6,7,13,None
14,2,6,16,1,17,None
14,3,4,28,2,30,None
15,1,4,2,5,7,None
15,2,7,7,2,9,None
15,3,8,9,9,18,None
15,4,2,20,3,23,None
15,5,4,24,4,28,None
15,6,1,61,6,67,None
