Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,40,10,50,None
1,2,8,144,17,161,None
1,3,8,161,14,175,None
1,4,1,175,10,185,None
1,5,2,185,16,201,None
1,6,9,201,6,207,None
1,7,7,207,9,216,None
1,8,1,216,7,223,None
1,9,9,223,11,234,None
1,10,4,254,16,270,None
1,11,2,278,5,283,None
1,12,9,283,9,292,None
2,1,8,0,17,17,None
2,2,5,17,6,23,None
2,3,1,31,11,42,None
2,4,5,57,9,66,None
2,5,3,77,11,88,None
2,6,6,88,12,100,None
2,7,6,100,10,110,None
2,8,1,156,7,163,None
2,9,3,194,10,204,None
2,10,1,251,10,261,None
2,11,4,270,7,277,None
2,12,4,277,16,293,None
2,13,5,293,8,301,None
3,1,7,17,5,22,None
3,2,5,32,9,41,None
3,3,10,45,18,63,None
3,4,2,66,10,76,None
3,5,9,76,9,85,None
3,6,4,112,16,128,None
3,7,1,137,7,144,None
3,8,1,163,10,173,None
3,9,5,173,6,179,None
3,10,3,183,11,194,None
3,11,3,279,14,293,None
4,1,6,0,12,12,None
4,2,1,12,7,19,None
4,3,9,35,15,50,None
4,4,8,116,14,130,None
4,5,4,130,16,146,None
4,6,8,189,17,206,None
4,7,4,206,7,213,None
4,8,5,213,5,218,None
4,9,3,218,14,232,None
4,10,7,232,9,241,None
4,11,1,241,10,251,None
5,1,8,65,17,82,None
5,2,4,89,16,105,None
5,3,5,105,9,114,None
5,4,10,114,6,120,None
5,5,3,120,11,131,None
5,6,10,131,18,149,None
5,7,2,150,8,158,None
5,8,8,223,14,237,None
5,9,5,237,6,243,None
5,10,2,243,5,248,None
5,11,4,248,6,254,None
5,12,5,254,9,263,None
5,13,6,263,12,275,None
5,14,1,275,7,282,None
6,1,2,0,5,5,None
6,2,10,27,18,45,None
6,3,1,105,10,115,None
6,4,3,131,14,145,None
6,5,5,145,9,154,None
6,6,9,154,9,163,None
6,7,8,254,17,271,None
6,8,8,271,14,285,None
6,9,2,285,5,290,None
6,10,7,290,5,295,None
6,11,4,295,11,306,None
7,1,8,17,14,31,None
7,2,8,31,17,48,None
7,3,5,48,9,57,None
7,4,4,57,16,73,None
7,5,1,73,10,83,None
7,6,2,83,5,88,None
7,7,2,88,5,93,None
7,8,5,93,6,99,None
7,9,9,106,9,115,None
7,10,9,125,15,140,None
7,11,6,140,14,154,None
7,12,7,158,5,163,None
7,13,4,178,7,185,None
7,14,10,191,18,209,None
8,1,1,42,10,52,None
8,2,10,63,6,69,None
8,3,5,75,9,84,None
8,4,7,84,9,93,None
8,5,9,95,11,106,None
8,6,7,109,13,122,None
8,7,2,122,8,130,None
8,8,2,130,5,135,None
8,9,2,135,8,143,None
8,10,4,185,6,191,None
8,11,1,205,11,216,None
8,12,7,250,17,267,None
8,13,5,273,6,279,None
9,1,8,48,17,65,None
9,2,2,76,5,81,None
9,3,1,83,10,93,None
9,4,4,146,16,162,None
9,5,5,165,6,171,None
9,6,7,171,9,180,None
9,7,6,180,14,194,None
9,8,9,207,11,218,None
9,9,2,218,12,230,None
9,10,2,230,10,240,None
9,11,5,243,9,252,None
10,1,4,0,16,16,None
10,2,1,19,6,25,None
10,3,3,28,14,42,None
10,4,7,43,13,56,None
10,5,9,56,11,67,None
10,6,9,67,9,76,None
10,7,5,179,6,185,None
10,8,7,185,17,202,None
10,9,2,202,10,212,None
10,10,3,232,11,243,None
10,11,6,243,12,255,None
10,12,1,282,10,292,None
11,1,9,0,11,11,None
11,2,5,23,9,32,None
11,3,2,32,8,40,None
11,4,4,40,16,56,None
11,5,1,62,6,68,None
11,6,5,127,9,136,None
11,7,3,145,10,155,None
11,8,3,169,14,183,None
11,9,1,195,10,205,None
11,10,3,256,11,267,None
12,1,10,0,6,6,None
12,2,1,25,6,31,None
12,3,4,73,16,89,None
12,4,9,89,6,95,None
12,5,7,95,5,100,None
12,6,7,100,9,109,None
12,7,2,109,5,114,None
12,8,8,175,14,189,None
12,9,9,189,9,198,None
12,10,5,198,6,204,None
12,11,10,209,18,227,None
13,1,2,5,5,10,None
13,2,3,14,14,28,None
13,3,9,29,6,35,None
13,4,5,66,9,75,None
13,5,10,75,10,85,None
13,6,3,88,11,99,None
13,7,2,99,10,109,None
13,8,8,206,17,223,None
13,9,1,223,7,230,None
13,10,1,230,10,240,None
13,11,7,241,9,250,None
14,1,5,0,8,8,None
14,2,1,52,10,62,None
14,3,10,85,18,103,None
14,4,1,115,11,126,None
14,5,7,126,5,131,None
14,6,1,144,6,150,None
14,7,4,162,16,178,None
14,8,4,198,7,205,None
14,9,7,216,9,225,None
14,10,3,293,11,304,None
15,1,1,0,10,10,None
15,2,4,16,11,27,None
15,3,7,56,13,69,None
15,4,6,69,14,83,None
15,5,5,99,6,105,None
15,6,9,140,6,146,None
15,7,2,212,5,217,None
15,8,5,218,5,223,None
15,9,4,229,16,245,None
15,10,3,245,11,256,None
15,11,2,268,10,278,None
15,12,7,278,5,283,None
16,1,8,82,17,99,None
16,2,1,99,6,105,None
16,3,3,105,14,119,None
16,4,9,119,6,125,None
16,5,8,130,14,144,None
16,6,7,144,5,149,None
16,7,7,149,9,158,None
16,8,2,158,5,163,None
16,9,6,163,12,175,None
16,10,2,175,10,185,None
16,11,4,213,16,229,None
16,12,5,229,8,237,None
16,13,1,261,7,268,None
16,14,5,268,5,273,None
17,1,2,10,8,18,None
17,2,9,18,11,29,None
17,3,7,29,9,38,None
17,4,8,99,17,116,None
17,5,5,116,5,121,None
17,6,5,121,6,127,None
17,7,1,127,10,137,None
17,8,7,137,5,142,None
17,9,2,163,10,173,None
17,10,10,173,18,191,None
17,11,4,191,7,198,None
17,12,3,204,14,218,None
17,13,1,268,7,275,None
18,1,6,12,14,26,None
18,2,6,26,16,42,None
18,3,5,42,6,48,None
18,4,10,69,6,75,None
18,5,3,155,14,169,None
18,6,9,169,17,186,None
18,7,9,234,11,245,None
18,8,2,248,10,258,None
18,9,10,258,10,268,None
18,10,8,285,14,299,None
18,11,1,299,8,307,None
19,1,3,0,14,14,None
19,2,2,18,10,28,None
19,3,4,28,11,39,None
19,4,2,50,16,66,None
19,5,3,66,11,77,None
19,6,1,93,6,99,None
19,7,4,105,7,112,None
19,8,2,114,5,119,None
19,9,10,120,6,126,None
19,10,5,136,9,145,None
19,11,2,145,5,150,None
19,12,7,163,5,168,None
19,13,5,185,9,194,None
20,1,7,0,17,17,None
20,2,10,17,10,27,None
20,3,7,38,5,43,None
20,4,3,43,14,57,None
20,5,5,84,6,90,None
20,6,1,150,6,156,None
20,7,5,156,9,165,None
20,8,1,185,10,195,None
20,9,8,237,17,254,None
20,10,9,254,6,260,None
20,11,2,260,8,268,None
20,12,3,268,11,279,None
20,13,10,279,18,297,None
