group,case,min.,max.,avg.,std.,1,2,3,4,5,6,7,8,9,10
GA_Fjsp_dpox,mk1,42,42,42,0,42,42,42,42,42,42,42,42,42,42
GA_Fjsp_ipox,mk1,42,42,42,0,42,42,42,42,42,42,42,42,42,42
GA_FjspNew_dpox,mk1,40,42,41.8,0.6,42,40,42,42,42,42,42,42,42,42
GA_FjspNew_ipox,mk1,40,42,40.9,0.94,40,40,42,42,42,40,40,42,41,40
GA_Fjsp_dpox,mk10,233,247,242.1,3.65,242,233,242,245,241,244,240,242,245,247
GA_Fjsp_ipox,mk10,242,247,244.8,1.72,245,244,247,242,242,247,246,244,246,245
GA_FjspNew_dpox,mk10,223,232,227.7,2.65,232,223,231,227,231,226,227,227,227,226
GA_FjspNew_ipox,mk10,227,236,232.2,2.89,231,228,234,232,234,236,231,233,236,227
GA_Fjsp_dpox,mk2,28,31,29.5,1.02,30,28,30,30,31,28,28,30,30,30
GA_Fjsp_ipox,mk2,29,31,29.7,0.64,30,29,30,29,29,30,29,30,30,31
GA_FjspNew_dpox,mk2,27,28,27.6,0.49,28,27,27,28,28,28,27,27,28,28
GA_FjspNew_ipox,mk2,27,28,27.8,0.4,28,28,28,27,28,28,28,27,28,28
GA_Fjsp_dpox,mk3,204,204,204,0,204,204,204,204,204,204,204,204,204,204
GA_Fjsp_ipox,mk3,204,204,204,0,204,204,204,204,204,204,204,204,204,204
GA_FjspNew_dpox,mk3,204,204,204,0,204,204,204,204,204,204,204,204,204,204
GA_FjspNew_ipox,mk3,204,204,204,0,204,204,204,204,204,204,204,204,204,204
GA_Fjsp_dpox,mk4,68,73,69.7,1.79,68,70,68,68,69,69,69,70,73,73
GA_Fjsp_ipox,mk4,67,73,69.6,2.15,67,73,71,71,69,68,69,68,67,73
GA_FjspNew_dpox,mk4,66,71,67.3,1.27,67,67,67,67,67,71,66,67,67,67
GA_FjspNew_ipox,mk4,67,71,67.5,1.2,67,67,67,68,67,67,67,67,71,67
GA_Fjsp_dpox,mk5,178,183,181.2,1.54,181,183,181,183,180,182,183,181,178,180
GA_Fjsp_ipox,mk5,179,184,181.6,1.62,184,180,182,182,184,179,183,181,181,180
GA_FjspNew_dpox,mk5,176,180,178.7,1.27,180,176,179,180,179,178,180,179,179,177
GA_FjspNew_ipox,mk5,176,181,178.8,1.54,179,181,181,179,178,177,178,176,180,179
GA_Fjsp_dpox,mk6,69,72,70.9,1.14,72,72,70,72,70,72,70,70,69,72
GA_Fjsp_ipox,mk6,69,72,70.1,1.04,69,72,69,69,71,69,70,71,71,70
GA_FjspNew_dpox,mk6,65,67,66.4,0.8,66,67,67,66,65,67,67,67,67,65
GA_FjspNew_ipox,mk6,64,67,66.2,0.98,64,67,67,66,67,67,66,67,65,66
GA_Fjsp_dpox,mk7,147,158,152.6,3.69,148,153,147,150,154,157,158,154,156,149
GA_Fjsp_ipox,mk7,152,159,155.9,2.39,159,159,155,155,156,152,158,158,154,153
GA_FjspNew_dpox,mk7,145,149,147.4,1.2,145,147,148,149,147,148,146,148,147,149
GA_FjspNew_ipox,mk7,143,149,147.8,1.83,146,149,149,149,148,148,149,149,143,148
GA_Fjsp_dpox,mk8,523,523,523,0,523,523,523,523,523,523,523,523,523,523
GA_Fjsp_ipox,mk8,523,524,523.1,0.3,523,523,523,524,523,523,523,523,523,523
GA_FjspNew_dpox,mk8,523,523,523,0,523,523,523,523,523,523,523,523,523,523
GA_FjspNew_ipox,mk8,523,523,523,0,523,523,523,523,523,523,523,523,523,523
GA_Fjsp_dpox,mk9,323,338,329.6,4.2,328,334,329,323,326,327,327,338,333,331
GA_Fjsp_ipox,mk9,321,337,329.5,5.39,321,327,329,337,327,333,321,337,332,331
GA_FjspNew_dpox,mk9,309,316,312.9,1.97,309,313,316,313,314,315,314,313,311,311
GA_FjspNew_ipox,mk9,307,318,311.9,3.65,317,311,311,309,318,315,307,307,313,311
