Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,2,3,5,None
1,2,3,5,4,9,None
1,3,4,10,3,13,None
1,4,2,13,6,19,None
1,5,6,22,3,25,None
1,6,2,29,1,30,None
2,1,6,8,1,9,None
2,2,6,9,3,12,None
2,3,5,17,2,19,None
2,4,3,19,3,22,None
2,5,3,25,2,27,None
2,6,5,27,3,30,None
3,1,1,5,1,6,None
3,2,5,6,3,9,None
3,3,3,9,2,11,None
3,4,1,15,4,19,None
3,5,4,23,1,24,None
3,6,5,24,3,27,None
4,1,5,4,2,6,None
4,2,6,6,1,7,None
4,3,2,7,6,13,None
4,4,4,20,3,23,None
4,5,6,25,3,28,None
4,6,4,29,1,30,None
5,1,1,9,2,11,None
5,2,1,11,4,15,None
5,3,4,15,3,18,None
5,4,5,21,3,24,None
5,5,4,25,2,27,None
5,6,3,27,3,30,None
6,1,5,9,3,12,None
6,2,3,15,4,19,None
6,3,5,19,2,21,None
6,4,1,21,2,23,None
6,5,2,23,6,29,None
6,6,6,29,1,30,None
7,1,4,9,1,10,None
7,2,5,12,2,14,None
7,3,1,19,2,21,None
7,4,1,23,3,26,None
7,5,1,26,4,30,None
8,1,3,0,3,3,None
8,2,6,3,3,6,None
8,3,1,7,2,9,None
8,4,6,12,3,15,None
8,5,6,15,3,18,None
8,6,4,27,2,29,None
9,1,2,1,6,7,None
9,2,3,11,4,15,None
9,3,6,18,1,19,None
9,4,2,19,3,22,None
9,5,3,22,3,25,None
10,1,4,0,3,3,None
10,2,4,3,6,9,None
10,3,5,14,3,17,None
10,4,4,18,1,19,None
10,5,6,19,3,22,None
10,6,6,28,1,29,None
