Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,62,6,68,None
1,2,1,56,6,62,None
1,3,3,42,1,43,None
1,4,4,26,2,28,None
1,5,8,11,9,20,None
1,6,2,6,3,9,None
1,7,5,1,5,6,None
1,8,6,0,1,1,None
2,1,6,39,1,40,None
2,2,6,37,1,38,None
2,3,1,31,6,37,None
2,4,3,30,1,31,None
2,5,2,24,3,27,None
2,6,6,21,2,23,None
2,7,7,11,2,13,None
3,1,6,27,1,28,None
3,2,2,18,3,21,None
3,3,7,14,1,15,None
3,4,4,8,2,10,None
3,5,3,1,7,8,None
3,6,3,0,1,1,None
4,1,7,61,2,63,None
4,2,1,37,6,43,None
4,3,7,25,9,34,None
4,4,3,22,1,23,None
4,5,4,2,5,7,None
5,1,7,63,2,65,None
5,2,7,50,9,59,None
5,3,3,49,1,50,None
5,4,8,40,9,49,None
5,5,3,33,7,40,None
5,6,2,15,3,18,None
5,7,4,10,5,15,None
6,1,6,44,2,46,None
6,2,4,40,4,44,None
6,3,7,39,1,40,None
6,4,6,38,1,39,None
6,5,5,31,7,38,None
6,6,8,22,9,31,None
6,7,3,15,7,22,None
6,8,6,8,1,9,None
6,9,1,0,6,6,None
7,1,5,57,5,62,None
7,2,3,50,7,57,None
7,3,6,26,1,27,None
7,4,6,9,2,11,None
7,5,6,1,7,8,None
8,1,4,48,5,53,None
8,2,5,43,5,48,None
8,3,2,21,3,24,None
8,4,6,19,2,21,None
8,5,6,11,1,12,None
8,6,7,2,9,11,None
9,1,1,50,6,56,None
9,2,7,41,9,50,None
9,3,3,40,1,41,None
9,4,8,31,9,40,None
9,5,4,24,2,26,None
9,6,6,23,1,24,None
9,7,7,15,2,17,None
9,8,3,8,7,15,None
9,9,2,0,3,3,None
10,1,5,38,5,43,None
10,2,1,25,6,31,None
10,3,7,23,2,25,None
10,4,4,18,5,23,None
10,5,1,12,6,18,None
11,1,8,58,9,67,None
11,2,1,18,6,24,None
11,3,2,3,3,6,None
11,4,4,0,2,2,None
12,1,4,53,2,55,None
12,2,6,49,1,50,None
12,3,1,43,6,49,None
12,4,3,23,7,30,None
12,5,8,2,9,11,None
12,6,7,0,2,2,None
13,1,6,42,2,44,None
13,2,3,41,1,42,None
13,3,6,24,1,25,None
13,4,6,12,7,19,None
14,1,5,26,5,31,None
14,2,6,25,1,26,None
14,3,7,17,5,22,None
15,1,4,61,5,66,None
15,2,7,59,2,61,None
15,3,8,49,9,58,None
15,4,3,31,2,33,None
15,5,7,13,1,14,None
15,6,1,6,6,12,None
