group,case,min.,max.,avg.,std.,1,2,3,4,5,6,7,8,9,10
GA_Fjsp_ipox,mk1,42.0,42.0,42.00,0.00,42,42,42,42,42,42,42,42,42,42
GA_Fjsp_ipox,mk10,242.0,247.0,244.80,1.72,245,244,247,242,242,247,246,244,246,245
GA_Fjsp_ipox,mk2,29.0,31.0,29.70,0.64,30,29,30,29,29,30,29,30,30,31
GA_Fjsp_ipox,mk3,204.0,204.0,204.00,0.00,204,204,204,204,204,204,204,204,204,204
GA_Fjsp_ipox,mk4,67.0,73.0,69.60,2.15,67,73,71,71,69,68,69,68,67,73
GA_Fjsp_ipox,mk5,179.0,184.0,181.60,1.62,184,180,182,182,184,179,183,181,181,180
GA_Fjsp_ipox,mk6,69.0,72.0,70.10,1.04,69,72,69,69,71,69,70,71,71,70
GA_Fjsp_ipox,mk7,152.0,159.0,155.90,2.39,159,159,155,155,156,152,158,158,154,153
GA_Fjsp_ipox,mk8,523.0,524.0,523.10,0.30,523,523,523,524,523,523,523,523,523,523
GA_Fjsp_ipox,mk9,321.0,337.0,329.50,5.39,321,327,329,337,327,333,321,337,332,331
