Job,Operation,Machine,Start,Duration,End,Worker
1,1,4,73,5,78,None
1,2,4,106,5,111,None
1,3,7,126,3,129,None
1,4,5,132,7,139,None
1,5,5,139,6,145,None
1,6,5,149,2,151,None
1,7,5,151,2,153,None
1,8,1,153,17,170,None
1,9,8,177,5,182,None
1,10,6,182,2,184,None
2,1,7,31,3,34,None
2,2,1,34,17,51,None
2,3,2,106,1,107,None
2,4,8,119,5,124,None
2,5,3,124,13,137,None
2,6,7,142,13,155,None
2,7,7,166,15,181,None
2,8,2,181,1,182,None
2,9,8,185,3,188,None
2,10,6,199,2,201,None
3,1,5,70,5,75,None
3,2,2,77,1,78,None
3,3,4,78,5,83,None
3,4,6,90,3,93,None
3,5,8,93,3,96,None
3,6,6,97,2,99,None
3,7,4,116,11,127,None
3,8,5,130,2,132,None
3,9,1,136,17,153,None
3,10,2,182,1,183,None
4,1,3,62,18,80,None
4,2,3,80,3,83,None
4,3,4,83,11,94,None
4,4,8,96,3,99,None
4,5,6,99,15,114,None
4,6,7,159,2,161,None
4,7,5,161,2,163,None
4,8,7,163,3,166,None
4,9,1,170,17,187,None
4,10,6,201,3,204,None
5,1,7,44,13,57,None
5,2,6,95,2,97,None
5,3,5,99,2,101,None
5,4,4,101,5,106,None
5,5,3,111,13,124,None
5,6,7,161,2,163,None
5,7,5,166,2,168,None
5,8,6,173,3,176,None
5,9,3,191,3,194,None
5,10,5,194,10,204,None
6,1,2,74,1,75,None
6,2,6,75,15,90,None
6,3,4,111,5,116,None
6,4,7,155,3,158,None
6,5,4,158,11,169,None
6,6,8,169,5,174,None
6,7,8,174,3,177,None
6,8,4,183,5,188,None
6,9,5,188,6,194,None
6,10,3,201,3,204,None
7,1,8,76,5,81,None
7,2,8,81,3,84,None
7,3,2,84,1,85,None
7,4,1,85,17,102,None
7,5,7,129,13,142,None
7,6,2,146,1,147,None
7,7,5,147,2,149,None
7,8,3,150,13,163,None
7,9,3,163,18,181,None
7,10,7,181,15,196,None
8,1,6,15,2,17,None
8,2,1,17,17,34,None
8,3,4,68,5,73,None
8,4,7,111,13,124,None
8,5,8,124,5,129,None
8,6,8,134,3,137,None
8,7,4,137,11,148,None
8,8,2,152,1,153,None
8,9,4,153,5,158,None
8,10,3,198,3,201,None
9,1,1,0,17,17,None
9,2,2,86,10,96,None
9,3,7,96,3,99,None
9,4,8,100,19,119,None
9,5,6,140,15,155,None
9,6,8,166,3,169,None
9,7,5,176,2,178,None
9,8,2,183,1,184,None
9,9,4,188,11,199,None
9,10,4,199,5,204,None
10,1,1,51,17,68,None
10,2,7,68,13,81,None
10,3,5,107,2,109,None
10,4,2,109,18,127,None
10,5,8,129,3,132,None
10,6,4,132,5,137,None
10,7,6,179,3,182,None
10,8,6,184,2,186,None
10,9,7,196,3,199,None
10,10,8,199,5,204,None
11,1,2,54,1,55,None
11,2,6,55,2,57,None
11,3,7,57,3,60,None
11,4,4,60,5,65,None
11,5,6,65,3,68,None
11,6,1,68,17,85,None
11,7,5,156,5,161,None
11,8,5,168,2,170,None
11,9,2,171,10,181,None
11,10,2,184,18,202,None
12,1,8,90,3,93,None
12,2,5,105,2,107,None
12,3,7,108,3,111,None
12,4,1,119,17,136,None
12,5,3,137,13,150,None
12,6,6,176,2,178,None
12,7,5,178,2,180,None
12,8,3,185,3,188,None
12,9,8,188,11,199,None
12,10,2,203,1,204,None
13,1,8,71,5,76,None
13,2,5,88,2,90,None
13,3,3,90,18,108,None
13,4,2,108,1,109,None
13,5,6,114,15,129,None
13,6,6,129,11,140,None
13,7,8,142,11,153,None
13,8,2,153,18,171,None
13,9,5,180,6,186,None
13,10,6,186,13,199,None
14,1,7,65,3,68,None
14,2,5,103,2,105,None
14,3,2,107,1,108,None
14,4,5,114,7,121,None
14,5,5,121,6,127,None
14,6,4,127,5,132,None
14,7,6,155,15,170,None
14,8,5,170,2,172,None
14,9,4,172,11,183,None
14,10,1,187,17,204,None
15,1,8,66,5,71,None
15,2,5,75,6,81,None
15,3,7,81,13,94,None
15,4,4,94,5,99,None
15,5,7,99,3,102,None
15,6,1,102,17,119,None
15,7,2,127,18,145,None
15,8,5,145,2,147,None
15,9,4,148,5,153,None
15,10,2,202,1,203,None
