Job,Operation,Machine,Start,Duration,End,Worker
1,1,6,56,3,59,None
1,2,1,54,2,56,None
1,3,9,50,1,51,None
1,4,1,47,1,48,None
1,5,7,41,5,46,None
1,6,2,33,5,38,None
1,7,6,31,2,33,None
1,8,9,30,1,31,None
1,9,1,24,2,26,None
1,10,5,18,6,24,None
1,11,7,11,2,13,None
1,12,4,6,2,8,None
1,13,10,4,2,6,None
1,14,9,1,3,4,None
1,15,1,0,1,1,None
2,1,2,64,5,69,None
2,2,9,63,1,64,None
2,3,6,61,2,63,None
2,4,2,60,1,61,None
2,5,7,58,2,60,None
2,6,10,47,6,53,None
2,7,10,45,2,47,None
2,8,5,36,6,42,None
2,9,3,18,7,25,None
2,10,3,10,8,18,None
2,11,1,9,1,10,None
2,12,1,7,2,9,None
2,13,8,4,2,6,None
2,14,6,1,3,4,None
2,15,9,0,1,1,None
3,1,1,66,1,67,None
3,2,5,60,6,66,None
3,3,1,56,2,58,None
3,4,7,54,2,56,None
3,5,2,50,1,51,None
3,6,1,48,1,49,None
3,7,1,43,2,45,None
3,8,7,33,5,38,None
3,9,10,26,4,30,None
3,10,2,18,8,26,None
3,11,1,15,3,18,None
3,12,10,12,2,14,None
3,13,9,11,1,12,None
3,14,6,7,2,9,None
3,15,7,2,5,7,None
4,1,1,59,1,60,None
4,2,9,57,1,58,None
4,3,2,52,5,57,None
4,4,2,49,1,50,None
4,5,7,47,2,49,None
4,6,1,45,2,47,None
4,7,3,37,8,45,None
4,8,1,35,2,37,None
4,9,7,26,5,31,None
4,10,9,18,4,22,None
4,11,6,15,3,18,None
4,12,1,14,1,15,None
4,13,9,12,1,13,None
4,14,5,6,6,12,None
4,15,10,2,2,4,None
5,1,10,65,2,67,None
5,2,1,64,1,65,None
5,3,1,62,1,63,None
5,4,1,60,2,62,None
5,5,5,52,8,60,None
5,6,2,51,1,52,None
5,7,1,50,1,51,None
5,8,9,47,3,50,None
5,9,6,43,3,46,None
5,10,10,37,6,43,None
5,11,10,30,4,34,None
5,12,5,24,6,30,None
5,13,9,7,1,8,None
5,14,2,2,5,7,None
5,15,7,0,2,2,None
6,1,3,61,8,69,None
6,2,1,51,3,54,None
6,3,5,42,6,48,None
6,4,6,39,2,41,None
6,5,4,33,6,39,None
6,6,7,31,2,33,None
6,7,1,27,2,29,None
6,8,2,16,1,17,None
6,9,9,15,1,16,None
6,10,7,13,2,15,None
6,11,1,11,1,12,None
6,12,9,8,3,11,None
6,13,1,3,2,5,None
6,14,1,2,1,3,None
6,15,10,0,2,2,None
7,1,1,63,1,64,None
7,2,10,61,2,63,None
7,3,3,53,8,61,None
7,4,2,43,5,48,None
7,5,8,41,2,43,None
7,6,1,39,2,41,None
7,7,2,32,1,33,None
7,8,3,25,7,32,None
7,9,9,24,1,25,None
7,10,1,23,1,24,None
7,11,1,21,2,23,None
7,12,6,18,3,21,None
7,13,5,12,6,18,None
7,14,7,9,2,11,None
7,15,9,4,1,5,None
8,1,9,68,1,69,None
8,2,9,65,3,68,None
8,3,7,60,5,65,None
8,4,1,49,1,50,None
8,5,6,47,2,49,None
8,6,9,46,1,47,None
8,7,10,43,2,45,None
8,8,9,38,4,42,None
8,9,9,31,7,38,None
8,10,6,21,3,24,None
8,11,1,18,3,21,None
8,12,7,15,2,17,None
8,13,1,12,2,14,None
8,14,2,7,1,8,None
8,15,5,0,6,6,None
9,1,9,58,5,63,None
9,2,9,53,4,57,None
9,3,3,45,8,53,None
9,4,9,42,1,43,None
9,5,2,41,1,42,None
9,6,7,39,2,41,None
9,7,1,37,2,39,None
9,8,10,35,2,37,None
9,9,1,32,3,35,None
9,10,1,30,2,32,None
9,11,9,29,1,30,None
9,12,9,26,3,29,None
9,13,7,17,9,26,None
9,14,8,2,2,4,None
9,15,1,1,1,2,None
10,1,1,58,1,59,None
10,2,7,56,2,58,None
10,3,10,54,2,56,None
10,4,7,49,5,54,None
10,5,9,43,3,46,None
10,6,1,41,2,43,None
10,7,5,30,6,36,None
10,8,1,26,1,27,None
10,9,9,17,1,18,None
10,10,9,16,1,17,None
10,11,2,11,5,16,None
10,12,1,10,1,11,None
10,13,2,9,1,10,None
10,14,7,7,2,9,None
10,15,1,5,2,7,None
