Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,0,2,2,None
1,2,4,2,4,6,None
1,3,8,6,2,8,None
2,1,1,3,4,7,None
2,2,4,9,3,12,None
2,3,6,13,3,16,None
3,1,2,11,5,16,None
3,2,5,20,2,22,None
3,3,8,22,2,24,None
4,1,1,7,4,11,None
4,2,5,15,5,20,None
4,3,6,20,3,23,None
5,1,3,4,3,7,None
5,2,5,8,1,9,None
5,3,9,9,5,14,None
6,1,3,11,4,15,None
6,2,4,19,2,21,None
6,3,7,21,3,24,None
7,1,2,9,2,11,None
7,2,4,15,4,19,None
7,3,8,19,3,22,None
8,1,1,0,3,3,None
8,2,5,3,5,8,None
8,3,7,8,3,11,None
9,1,2,2,5,7,None
9,2,5,9,2,11,None
9,3,8,11,6,17,None
10,1,3,0,4,4,None
10,2,4,6,3,9,None
10,3,6,9,4,13,None
11,1,2,7,2,9,None
11,2,4,12,3,15,None
11,3,9,15,5,20,None
12,1,3,7,4,11,None
12,2,5,11,4,15,None
12,3,6,16,3,19,None
