Job,Operation,Machine,Start,Duration,End,Worker
1,1,8,16,62,78,None
1,2,9,78,24,102,None
1,3,6,232,25,257,None
1,4,4,267,84,351,None
1,5,5,351,47,398,None
1,6,7,398,38,436,None
1,7,3,436,82,518,None
1,8,1,518,93,611,None
1,9,10,868,24,892,None
1,10,2,892,66,958,None
2,1,6,0,47,47,None
2,2,3,47,97,144,None
2,3,9,178,92,270,None
2,4,10,270,22,292,None
2,5,2,292,93,385,None
2,6,5,531,29,560,None
2,7,8,560,56,616,None
2,8,4,616,80,696,None
2,9,1,718,78,796,None
2,10,7,891,67,958,None
3,1,2,38,45,83,None
3,2,8,83,46,129,None
3,3,7,146,22,168,None
3,4,3,206,26,232,None
3,5,10,232,38,270,None
3,6,1,350,69,419,None
3,7,5,714,40,754,None
3,8,4,754,33,787,None
3,9,9,787,75,862,None
3,10,6,862,96,958,None
4,1,5,17,85,102,None
4,2,9,102,76,178,None
4,3,6,328,68,396,None
4,4,10,406,88,494,None
4,5,4,494,36,530,None
4,6,7,576,75,651,None
4,7,3,651,56,707,None
4,8,2,707,35,742,None
4,9,1,796,77,873,None
4,10,8,873,85,958,None
5,1,9,18,60,78,None
5,2,10,109,20,129,None
5,3,8,129,25,154,None
5,4,4,154,63,217,None
5,5,5,217,81,298,None
5,6,1,298,52,350,None
5,7,2,582,30,612,None
5,8,6,642,98,740,None
5,9,7,740,54,794,None
5,10,3,794,86,880,None
6,1,4,17,87,104,None
6,2,10,159,73,232,None
6,3,6,257,51,308,None
6,4,3,308,95,403,None
6,5,5,403,65,468,None
6,6,2,468,86,554,None
6,7,7,554,22,576,None
6,8,9,580,58,638,None
6,9,1,638,80,718,None
6,10,8,778,65,843,None
7,1,6,53,81,134,None
7,2,3,144,53,197,None
7,3,8,197,57,254,None
7,4,7,254,71,325,None
7,5,10,325,81,406,None
7,6,1,419,43,462,None
7,7,5,616,26,642,None
7,8,9,642,54,696,None
7,9,4,696,58,754,None
7,10,2,823,69,892,None
8,1,5,148,20,168,None
8,2,7,168,86,254,None
8,3,6,396,21,417,None
8,4,9,417,79,496,None
8,5,10,515,62,577,None
8,6,3,577,34,611,None
8,7,1,611,27,638,None
8,8,2,742,81,823,None
8,9,8,843,30,873,None
8,10,4,912,46,958,None
9,1,10,0,68,68,None
9,2,7,68,66,134,None
9,3,6,134,98,232,None
9,4,9,310,86,396,None
9,5,8,396,66,462,None
9,6,1,462,56,518,None
9,7,4,530,82,612,None
9,8,2,612,95,707,None
9,9,5,833,47,880,None
9,10,3,880,78,958,None
10,1,1,74,30,104,None
10,2,4,104,50,154,None
10,3,8,163,34,197,None
10,4,3,250,58,308,None
10,5,2,385,77,462,None
10,6,6,462,34,496,None
10,7,9,496,84,580,None
10,8,5,761,40,801,None
10,9,10,801,46,847,None
10,10,7,847,44,891,None
