Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,704,19,723,None
1,2,10,671,33,704,None
1,3,3,583,32,615,None
1,4,14,565,18,583,None
1,5,11,501,39,540,None
1,6,9,461,34,495,None
1,7,7,424,25,449,None
1,8,5,386,36,422,None
1,9,12,345,40,385,None
1,10,13,281,33,314,None
1,11,2,250,31,281,None
1,12,15,200,30,230,None
1,13,4,39,34,73,None
1,14,6,13,26,39,None
1,15,8,0,13,13,None
2,1,10,704,11,715,None
2,2,11,681,22,703,None
2,3,15,623,19,642,None
2,4,6,611,12,623,None
2,5,5,579,25,604,None
2,6,7,541,38,579,None
2,7,1,494,29,523,None
2,8,8,450,39,489,None
2,9,14,431,19,450,None
2,10,12,408,22,430,None
2,11,2,340,23,363,None
2,12,4,320,20,340,None
2,13,3,65,40,105,None
2,14,13,26,19,45,None
2,15,9,0,26,26,None
3,1,4,680,25,705,None
3,2,9,663,17,680,None
3,3,12,628,24,652,None
3,4,14,588,40,628,None
3,5,11,556,32,588,None
3,6,15,540,16,556,None
3,7,6,492,39,531,None
3,8,10,428,19,447,None
3,9,1,404,24,428,None
3,10,2,363,39,402,None
3,11,5,318,17,335,None
3,12,3,283,35,318,None
3,13,8,198,38,236,None
3,14,7,177,20,197,None
3,15,13,117,31,148,None
4,1,15,671,22,693,None
4,2,4,635,36,671,None
4,3,3,545,34,579,None
4,4,13,528,17,545,None
4,5,5,493,30,523,None
4,6,14,450,12,462,None
4,7,2,424,13,437,None
4,8,7,399,25,424,None
4,9,10,380,12,392,None
4,10,8,362,18,380,None
4,11,11,331,31,362,None
4,12,1,292,39,331,None
4,13,6,183,40,223,None
4,14,9,54,26,80,None
4,15,12,12,37,49,None
5,1,13,634,32,666,None
5,2,15,603,15,618,None
5,3,2,534,35,569,None
5,4,8,520,13,533,None
5,5,9,408,32,440,None
5,6,12,385,23,408,None
5,7,7,317,22,339,None
5,8,5,292,21,313,None
5,9,1,254,38,292,None
5,10,3,216,38,254,None
5,11,4,139,40,179,None
5,12,11,108,31,139,None
5,13,6,97,11,108,None
5,14,14,60,37,97,None
5,15,10,39,16,55,None
6,1,11,634,23,657,None
6,2,13,596,38,634,None
6,3,9,583,11,594,None
6,4,15,556,27,583,None
6,5,10,524,11,535,None
6,6,7,499,25,524,None
6,7,6,434,14,448,None
6,8,5,422,12,434,None
6,9,3,393,27,420,None
6,10,12,319,26,345,None
6,11,8,236,29,265,None
6,12,4,179,28,207,None
6,13,14,142,21,163,None
6,14,1,96,20,116,None
6,15,2,66,30,96,None
7,1,7,629,39,668,None
7,2,9,543,38,581,None
7,3,1,528,15,543,None
7,4,13,501,27,528,None
7,5,11,479,22,501,None
7,6,10,452,27,479,None
7,7,3,420,32,452,None
7,8,5,252,40,292,None
7,9,4,240,12,252,None
7,10,14,200,20,220,None
7,11,15,179,21,200,None
7,12,12,157,22,179,None
7,13,6,140,17,157,None
7,14,8,102,38,140,None
7,15,2,0,27,27,None
8,1,12,689,11,700,None
8,2,14,665,24,689,None
8,3,11,588,38,626,None
8,4,9,499,15,514,None
8,5,10,480,19,499,None
8,6,15,467,13,480,None
8,7,6,404,30,434,None
8,8,1,378,26,404,None
8,9,3,349,29,378,None
8,10,7,284,33,317,None
8,11,13,253,21,274,None
8,12,2,235,15,250,None
8,13,4,112,21,133,None
8,14,5,84,28,112,None
8,15,8,13,33,46,None
9,1,9,701,20,721,None
9,2,7,672,17,689,None
9,3,6,646,26,672,None
9,4,4,601,34,635,None
9,5,10,573,23,596,None
9,6,1,543,16,559,None
9,7,3,493,18,511,None
9,8,5,458,35,493,None
9,9,13,318,24,342,None
9,10,11,302,16,318,None
9,11,12,221,26,247,None
9,12,8,169,12,181,None
9,13,15,142,13,155,None
9,14,14,115,27,142,None
9,15,2,96,19,115,None
10,1,2,706,18,724,None
10,2,8,669,37,706,None
10,3,15,642,27,669,None
10,4,10,596,40,636,None
10,5,6,549,40,589,None
10,6,7,524,17,541,None
10,7,9,357,22,379,None
10,8,4,340,17,357,None
10,9,11,176,30,206,None
10,10,1,138,38,176,None
10,11,5,117,21,138,None
10,12,13,85,32,117,None
10,13,12,60,24,84,None
10,14,14,36,24,60,None
10,15,3,0,30,30,None
11,1,12,700,19,719,None
11,2,1,665,22,687,None
11,3,14,629,36,665,None
11,4,7,611,18,629,None
11,5,6,589,22,611,None
11,6,4,467,17,484,None
11,7,15,432,35,467,None
11,8,11,398,34,432,None
11,9,8,331,23,354,None
11,10,9,300,19,319,None
11,11,3,254,29,283,None
11,12,2,175,22,197,None
11,13,13,148,17,165,None
11,14,5,39,33,72,None
11,15,10,0,39,39,None
12,1,7,689,32,721,None
12,2,4,579,22,601,None
12,3,13,549,24,573,None
12,4,6,536,13,549,None
12,5,5,523,13,536,None
12,6,2,442,11,453,None
12,7,1,431,11,442,None
12,8,14,406,25,431,None
12,9,9,393,13,406,None
12,10,3,378,15,393,None
12,11,11,206,33,239,None
12,12,12,179,17,196,None
12,13,15,155,16,171,None
12,14,10,102,38,140,None
12,15,8,78,24,102,None
13,1,15,705,16,721,None
13,2,14,689,16,705,None
13,3,2,569,37,606,None
13,4,9,514,25,539,None
13,5,3,452,26,478,None
13,6,4,439,11,450,None
13,7,10,392,34,426,None
13,8,5,335,14,349,None
13,9,1,233,20,253,None
13,10,7,197,36,233,None
13,11,13,165,12,177,None
13,12,6,108,29,137,None
13,13,11,78,25,103,None
13,14,8,46,32,78,None
13,15,12,0,12,12,None
14,1,9,681,20,701,None
14,2,11,657,24,681,None
14,3,12,573,27,600,None
14,4,10,535,38,573,None
14,5,6,458,34,492,None
14,6,13,419,39,458,None
14,7,8,386,33,419,None
14,8,5,349,37,386,None
14,9,3,318,31,349,None
14,10,14,274,15,289,None
14,11,15,240,34,274,None
14,12,4,207,33,240,None
14,13,7,151,26,177,None
14,14,2,115,36,151,None
14,15,1,58,14,72,None
15,1,9,594,31,625,None
15,2,1,559,17,576,None
15,3,10,499,13,512,None
15,4,2,463,21,484,None
15,5,11,446,17,463,None
15,6,8,419,19,438,None
15,7,14,336,14,350,None
15,8,4,280,40,320,None
15,9,6,223,32,255,None
