Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,1201,29,1230,None
1,2,2,1039,9,1048,None
1,3,3,990,49,1039,None
1,4,4,892,62,954,None
1,5,5,819,44,863,None
2,1,1,968,43,1011,None
2,2,2,829,75,904,None
2,3,4,756,69,825,None
2,4,3,679,46,725,None
2,5,5,597,72,669,None
3,1,2,510,91,601,None
3,2,1,292,39,331,None
3,3,3,202,90,292,None
3,4,5,190,12,202,None
3,5,4,117,45,162,None
4,1,2,679,81,760,None
4,2,1,597,71,668,None
4,3,5,588,9,597,None
4,4,3,377,85,462,None
4,5,4,260,22,282,None
5,1,3,1129,14,1143,None
5,2,2,932,22,954,None
5,3,1,846,26,872,None
5,4,4,825,21,846,None
5,5,5,717,72,789,None
6,1,3,1143,84,1227,None
6,2,2,777,52,829,None
6,3,5,669,48,717,None
6,4,1,117,47,164,None
6,5,4,111,6,117,None
7,1,2,386,46,432,None
7,2,1,164,61,225,None
7,3,3,127,32,159,None
7,4,4,79,32,111,None
7,5,5,0,30,30,None
8,1,3,725,31,756,None
8,2,2,464,46,510,None
8,3,1,430,32,462,None
8,4,4,335,19,354,None
8,5,5,154,36,190,None
9,1,1,1030,76,1106,None
9,2,4,954,76,1030,None
9,3,3,292,85,377,None
9,4,2,56,40,96,None
9,5,5,30,26,56,None
10,1,2,1117,85,1202,None
10,2,3,618,61,679,None
10,3,1,490,64,554,None
10,4,4,443,47,490,None
10,5,5,290,90,380,None
11,1,2,601,78,679,None
11,2,4,542,36,578,None
11,3,1,462,11,473,None
11,4,5,380,56,436,None
11,5,3,0,21,21,None
12,1,3,1039,90,1129,None
12,2,1,957,11,968,None
12,3,2,904,28,932,None
12,4,4,846,46,892,None
12,5,5,789,30,819,None
13,1,1,872,85,957,None
13,2,3,770,74,844,None
13,3,2,760,10,770,None
13,4,4,667,89,756,None
13,5,5,555,33,588,None
14,1,3,844,95,939,None
14,2,1,331,99,430,None
14,3,2,260,52,312,None
14,4,4,162,98,260,None
14,5,5,56,43,99,None
15,1,1,1015,6,1021,None
15,2,2,954,61,1015,None
15,3,5,863,69,932,None
15,4,3,477,49,526,None
15,5,4,282,53,335,None
16,1,2,1202,2,1204,None
16,2,1,1106,95,1201,None
16,3,4,1030,72,1102,None
16,4,5,932,65,997,None
16,5,3,21,25,46,None
17,1,1,554,37,591,None
17,2,3,464,13,477,None
17,3,2,443,21,464,None
17,4,4,354,89,443,None
17,5,5,99,55,154,None
18,1,1,668,86,754,None
18,2,2,312,74,386,None
18,3,5,202,88,290,None
18,4,3,79,48,127,None
18,5,4,0,79,79,None
19,1,2,1048,69,1117,None
19,2,3,939,51,990,None
19,3,1,754,11,765,None
19,4,4,578,89,667,None
19,5,5,481,74,555,None
20,1,1,777,13,790,None
20,2,2,770,7,777,None
20,3,3,542,76,618,None
20,4,4,490,52,542,None
20,5,5,436,45,481,None
