Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,402,29,431,None
1,2,2,513,9,522,None
1,3,3,532,49,581,None
1,4,4,710,62,772,None
1,5,5,807,44,851,None
2,1,1,166,43,209,None
2,2,2,314,75,389,None
2,3,4,402,69,471,None
2,4,3,486,46,532,None
2,5,5,594,72,666,None
3,1,2,532,91,623,None
3,2,1,623,39,662,None
3,3,3,732,90,822,None
3,4,5,907,12,919,None
3,5,4,965,45,1010,None
4,1,2,873,81,954,None
4,2,1,954,71,1025,None
4,3,5,1085,9,1094,None
4,4,3,1094,85,1179,None
4,5,4,1180,22,1202,None
5,1,3,0,14,14,None
5,2,2,491,22,513,None
5,3,1,513,26,539,None
5,4,4,642,21,663,None
5,5,5,666,72,738,None
6,1,3,50,84,134,None
6,2,2,177,52,229,None
6,3,5,236,48,284,None
6,4,1,905,47,952,None
6,5,4,1010,6,1016,None
7,1,2,684,46,730,None
7,2,1,775,61,836,None
7,3,3,871,32,903,None
7,4,4,1016,32,1048,None
7,5,5,1120,30,1150,None
8,1,3,676,31,707,None
8,2,2,827,46,873,None
8,3,1,873,32,905,None
8,4,4,946,19,965,None
8,5,5,1150,36,1186,None
9,1,1,431,76,507,None
9,2,4,772,76,848,None
9,3,3,903,85,988,None
9,4,2,988,40,1028,None
9,5,5,1094,26,1120,None
10,1,2,229,85,314,None
10,2,3,351,61,412,None
10,3,1,539,64,603,None
10,4,4,663,47,710,None
10,5,5,995,90,1085,None
11,1,2,92,78,170,None
11,2,4,471,36,507,None
11,3,1,603,11,614,None
11,4,5,851,56,907,None
11,5,3,1036,21,1057,None
12,1,3,261,90,351,None
12,2,1,391,11,402,None
12,3,2,463,28,491,None
12,4,4,507,46,553,None
12,5,5,564,30,594,None
13,1,1,306,85,391,None
13,2,3,412,74,486,None
13,3,2,522,10,532,None
13,4,4,553,89,642,None
13,5,5,919,33,952,None
14,1,3,581,95,676,None
14,2,1,676,99,775,None
14,3,2,775,52,827,None
14,4,4,848,98,946,None
14,5,5,952,43,995,None
15,1,1,50,6,56,None
15,2,2,623,61,684,None
15,3,5,738,69,807,None
15,4,3,822,49,871,None
15,5,4,1048,53,1101,None
16,1,2,69,2,71,None
16,2,1,71,95,166,None
16,3,4,181,72,253,None
16,4,5,284,65,349,None
16,5,3,707,25,732,None
17,1,1,0,37,37,None
17,2,3,37,13,50,None
17,3,2,71,21,92,None
17,4,4,92,89,181,None
17,5,5,181,55,236,None
18,1,1,220,86,306,None
18,2,2,389,74,463,None
18,3,5,476,88,564,None
18,4,3,988,48,1036,None
18,5,4,1101,79,1180,None
19,1,2,0,69,69,None
19,2,3,134,51,185,None
19,3,1,209,11,220,None
19,4,4,313,89,402,None
19,5,5,402,74,476,None
20,1,1,37,13,50,None
20,2,2,170,7,177,None
20,3,3,185,76,261,None
20,4,4,261,52,313,None
20,5,5,349,45,394,None
