Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,119,6,125,None
1,2,3,712,40,752,None
1,3,2,912,81,993,None
1,4,4,1062,37,1099,None
1,5,5,1188,19,1207,None
2,1,3,0,40,40,None
2,2,4,65,32,97,None
2,3,1,852,55,907,None
2,4,5,924,81,1005,None
2,5,2,1183,9,1192,None
3,1,2,198,46,244,None
3,2,5,244,65,309,None
3,3,3,381,70,451,None
3,4,4,480,55,535,None
3,5,1,1130,77,1207,None
4,1,3,174,21,195,None
4,2,5,309,65,374,None
4,3,1,1066,64,1130,None
4,4,4,1143,25,1168,None
4,5,2,1192,15,1207,None
5,1,3,40,85,125,None
5,2,1,125,40,165,None
5,3,2,480,44,524,None
5,4,4,535,24,559,None
5,5,5,758,37,795,None
6,1,1,582,89,671,None
6,2,5,795,29,824,None
6,3,2,829,83,912,None
6,4,4,934,31,965,None
6,5,3,1123,84,1207,None
7,1,5,38,59,97,None
7,2,4,97,38,135,None
7,3,2,663,80,743,None
7,4,3,936,30,966,None
7,5,1,1058,8,1066,None
8,1,1,355,80,435,None
8,2,3,595,56,651,None
8,3,2,743,77,820,None
8,4,5,824,41,865,None
8,5,4,965,97,1062,None
9,1,5,188,56,244,None
9,2,1,264,91,355,None
9,3,4,430,50,480,None
9,4,3,1052,71,1123,None
9,5,2,1166,17,1183,None
10,1,2,440,40,480,None
10,2,1,494,88,582,None
10,3,5,600,59,659,None
10,4,3,787,7,794,None
10,5,4,794,80,874,None
11,1,1,219,45,264,None
11,2,2,622,29,651,None
11,3,3,651,8,659,None
11,4,5,659,77,736,None
11,5,4,736,58,794,None
12,1,3,129,36,165,None
12,2,1,165,54,219,None
12,3,4,334,96,430,None
12,4,2,820,9,829,None
12,5,5,865,10,875,None
13,1,1,91,28,119,None
13,2,3,451,73,524,None
13,3,2,524,98,622,None
13,4,4,644,92,736,None
13,5,5,1005,87,1092,None
14,1,1,21,70,91,None
14,2,4,180,86,266,None
14,3,3,966,27,993,None
14,4,2,993,99,1092,None
14,5,5,1092,96,1188,None
15,1,2,340,95,435,None
15,2,1,435,59,494,None
15,3,5,503,56,559,None
15,4,4,559,85,644,None
15,5,3,1011,41,1052,None
16,1,2,30,81,111,None
16,2,3,256,92,348,None
16,3,5,374,32,406,None
16,4,1,1006,52,1058,None
16,5,4,1168,39,1207,None
17,1,2,251,7,258,None
17,2,5,578,22,600,None
17,3,3,752,12,764,None
17,4,1,764,88,852,None
17,5,4,874,60,934,None
18,1,4,135,45,180,None
18,2,1,671,93,764,None
18,3,3,806,69,875,None
18,4,5,875,49,924,None
18,5,2,1139,27,1166,None
19,1,1,0,21,21,None
19,2,2,111,84,195,None
19,3,3,195,61,256,None
19,4,4,266,68,334,None
19,5,5,477,26,503,None
20,1,2,258,82,340,None
20,2,3,348,33,381,None
20,3,5,406,71,477,None
20,4,1,907,99,1006,None
20,5,4,1099,44,1143,None
