Job,Operation,Machine,Start,Duration,End,Worker
1,1,5,744,18,762,None
1,2,8,683,21,704,None
1,3,10,642,41,683,None
1,4,3,597,45,642,None
1,5,4,559,38,597,None
1,6,9,245,50,295,None
1,7,6,161,84,245,None
1,8,7,105,29,134,None
1,9,2,82,23,105,None
1,10,1,0,82,82,None
2,1,9,706,57,763,None
2,2,6,552,16,568,None
2,3,2,500,52,552,None
2,4,8,426,74,500,None
2,5,3,388,38,426,None
2,6,4,334,54,388,None
2,7,7,225,62,287,None
2,8,10,188,37,225,None
2,9,5,134,54,188,None
2,10,1,82,52,134,None
3,1,3,744,30,774,None
3,2,5,665,79,744,None
3,3,4,597,68,665,None
3,4,2,431,61,492,None
3,5,9,420,11,431,None
3,6,7,331,89,420,None
3,7,8,219,89,308,None
3,8,1,138,81,219,None
3,9,10,57,81,138,None
3,10,6,0,57,57,None
4,1,1,706,91,797,None
4,2,9,698,8,706,None
4,3,4,665,33,698,None
4,4,8,588,55,643,None
4,5,6,568,20,588,None
4,6,3,546,20,566,None
4,7,5,504,32,536,None
4,8,7,420,84,504,None
4,9,2,249,66,315,None
4,10,10,225,24,249,None
5,1,10,683,40,723,None
5,2,1,613,7,620,None
5,3,5,594,19,613,None
5,4,9,587,7,594,None
5,5,7,504,83,587,None
5,6,3,197,64,261,None
5,7,6,105,56,161,None
5,8,4,47,54,101,None
5,9,8,39,8,47,None
5,10,2,0,39,39,None
6,1,4,706,91,797,None
6,2,3,642,64,706,None
6,3,6,469,40,509,None
6,4,1,406,63,469,None
6,5,8,308,98,406,None
6,6,5,220,74,294,None
6,7,9,159,61,220,None
6,8,2,141,6,147,None
6,9,7,46,42,88,None
6,10,10,0,15,15,None
7,1,2,682,80,762,None
7,2,8,643,39,682,None
7,3,9,559,24,583,None
7,4,4,484,75,559,None
7,5,5,404,75,479,None
7,6,6,398,6,404,None
7,7,7,287,44,331,None
7,8,1,219,26,245,None
7,9,3,110,87,197,None
7,10,10,15,22,37,None
8,1,2,769,15,784,None
8,2,8,726,43,769,None
8,3,3,706,20,726,None
8,4,1,674,12,686,None
8,5,9,648,26,674,None
8,6,7,587,61,648,None
8,7,4,160,79,239,None
8,8,10,138,22,160,None
8,9,6,97,8,105,None
8,10,5,8,80,88,None
9,1,3,484,62,546,None
9,2,4,388,96,484,None
9,3,5,313,22,335,None
9,4,10,308,5,313,None
9,5,1,245,63,308,None
9,6,7,169,33,202,None
9,7,8,159,10,169,None
9,8,9,141,18,159,None
9,9,2,105,36,141,None
9,10,6,57,40,97,None
10,1,2,558,96,654,None
10,2,1,469,89,558,None
10,3,6,334,64,398,None
10,4,4,239,95,334,None
10,5,10,160,23,183,None
10,6,8,125,18,143,None
10,7,9,110,15,125,None
10,8,3,46,64,110,None
10,9,7,8,38,46,None
10,10,5,0,8,8,None
