Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,20160,1920,22080,None
1,2,3,19500,660,20160,None
1,3,1,13200,2700,15900,None
1,4,4,6960,2700,9660,None
1,5,5,3960,3000,6960,None
2,1,5,18060,5520,23580,None
2,2,1,15900,2160,18060,None
2,3,2,15480,60,15540,None
2,4,3,12780,2700,15480,None
2,5,4,2160,3600,5760,None
3,1,3,29580,1440,31020,None
3,2,5,26520,900,27420,None
3,3,2,15540,2640,18180,None
3,4,1,8580,4620,13200,None
3,5,4,0,2160,2160,None
4,1,2,35580,3900,39480,None
4,2,4,29580,6000,35580,None
4,3,3,24480,5100,29580,None
4,4,1,22260,2220,24480,None
4,5,5,0,3960,3960,None
5,1,1,35820,3780,39600,None
5,2,4,35580,240,35820,None
5,3,2,30360,1080,31440,None
5,4,5,27420,2940,30360,None
5,5,3,15480,2280,17760,None
6,1,5,30360,3360,33720,None
6,2,4,17760,2760,20520,None
6,3,2,12780,2700,15480,None
6,4,3,10980,1800,12780,None
6,5,1,0,3300,3300,None
7,1,5,23580,2940,26520,None
7,2,1,18060,4200,22260,None
7,3,4,12360,420,12780,None
7,4,2,10980,1380,12360,None
7,5,3,5460,5520,10980,None
8,1,2,25740,3060,28800,None
8,2,4,20520,5220,25740,None
8,3,3,17760,1740,19500,None
8,4,5,11520,4260,15780,None
8,5,1,3300,5280,8580,None
9,1,1,30300,5520,35820,None
9,2,4,12780,4980,17760,None
9,3,5,6960,4560,11520,None
9,4,2,5460,1020,6480,None
9,5,3,0,5460,5460,None
10,1,5,35820,1020,36840,None
10,2,3,31020,4800,35820,None
10,3,1,24480,5820,30300,None
10,4,4,5760,240,6000,None
10,5,2,0,3600,3600,None
