Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,17520,1920,19440,None
1,2,3,19440,660,20100,None
1,3,1,23700,2700,26400,None
1,4,4,29940,2700,32640,None
1,5,5,32640,3000,35640,None
2,1,5,16020,5520,21540,None
2,2,1,21540,2160,23700,None
2,3,2,24060,60,24120,None
2,4,3,24120,2700,26820,None
2,5,4,33840,3600,37440,None
3,1,3,8580,1440,10020,None
3,2,5,12180,900,13080,None
3,3,2,21420,2640,24060,None
3,4,1,26400,4620,31020,None
3,5,4,37440,2160,39600,None
4,1,2,120,3900,4020,None
4,2,4,4020,6000,10020,None
4,3,3,10020,5100,15120,None
4,4,1,15120,2220,17340,None
4,5,5,35640,3960,39600,None
5,1,1,0,3780,3780,None
5,2,4,3780,240,4020,None
5,3,2,8160,1080,9240,None
5,4,5,9240,2940,12180,None
5,5,3,21840,2280,24120,None
6,1,5,5880,3360,9240,None
6,2,4,19080,2760,21840,None
6,3,2,24120,2700,26820,None
6,4,3,26820,1800,28620,None
6,5,1,36300,3300,39600,None
7,1,5,13080,2940,16020,None
7,2,1,17340,4200,21540,None
7,3,4,26820,420,27240,None
7,4,2,27240,1380,28620,None
7,5,3,28620,5520,34140,None
8,1,2,10800,3060,13860,None
8,2,4,13860,5220,19080,None
8,3,3,20100,1740,21840,None
8,4,5,23820,4260,28080,None
8,5,1,31020,5280,36300,None
9,1,1,3780,5520,9300,None
9,2,4,21840,4980,26820,None
9,3,5,28080,4560,32640,None
9,4,2,33120,1020,34140,None
9,5,3,34140,5460,39600,None
10,1,5,2760,1020,3780,None
10,2,3,3780,4800,8580,None
10,3,1,9300,5820,15120,None
10,4,4,33600,240,33840,None
10,5,2,36000,3600,39600,None
