Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,35760,1920,37680,None
1,2,3,46800,660,47460,None
1,3,1,48960,2700,51660,None
1,4,4,57780,2700,60480,None
1,5,5,119760,3000,122760,None
2,1,5,36120,5520,41640,None
2,2,1,46800,2160,48960,None
2,3,2,48960,60,49020,None
2,4,3,49260,2700,51960,None
2,5,4,115200,3600,118800,None
3,1,3,28800,1440,30240,None
3,2,5,41640,900,42540,None
3,3,2,49020,2640,51660,None
3,4,1,115200,4620,119820,None
3,5,4,119820,2160,121980,None
4,1,2,31860,3900,35760,None
4,2,4,46800,6000,52800,None
4,3,3,52800,5100,57900,None
4,4,1,119820,2220,122040,None
4,5,5,122760,3960,126720,None
5,1,1,28800,3780,32580,None
5,2,4,39840,240,40080,None
5,3,2,46800,1080,47880,None
5,4,5,51060,2940,54000,None
5,5,3,57900,2280,60180,None
6,1,5,31740,3360,35100,None
6,2,4,37080,2760,39840,None
6,3,2,39840,2700,42540,None
6,4,3,47460,1800,49260,None
6,5,1,51660,3300,54960,None
7,1,5,28800,2940,31740,None
7,2,1,38100,4200,42300,None
7,3,4,42300,420,42720,None
7,4,2,51660,1380,53040,None
7,5,3,115200,5520,120720,None
8,1,2,28800,3060,31860,None
8,2,4,31860,5220,37080,None
8,3,3,40920,1740,42660,None
8,4,5,46800,4260,51060,None
8,5,1,122040,5280,127320,None
9,1,1,32580,5520,38100,None
9,2,4,52800,4980,57780,None
9,3,5,115200,4560,119760,None
9,4,2,119760,1020,120780,None
9,5,3,120780,5460,126240,None
10,1,5,35100,1020,36120,None
10,2,3,36120,4800,40920,None
10,3,1,54960,5820,60780,None
10,4,4,60780,240,61020,None
10,5,2,115200,3600,118800,None
