Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,31,5,36,None
1,2,5,23,3,26,None
1,3,6,21,2,23,None
1,4,1,13,1,14,None
1,5,3,10,1,11,None
1,6,4,0,3,3,None
2,1,2,42,6,48,None
2,2,3,33,1,34,None
2,3,1,28,2,30,None
2,4,4,17,6,23,None
2,5,1,4,1,5,None
3,1,2,18,6,24,None
3,2,6,10,2,12,None
3,3,1,9,1,10,None
3,4,3,5,4,9,None
3,5,1,3,1,4,None
4,1,1,18,1,19,None
4,2,2,12,6,18,None
4,3,3,9,1,10,None
4,4,5,2,3,5,None
4,5,6,0,2,2,None
5,1,5,31,3,34,None
5,2,1,30,1,31,None
5,3,2,24,6,30,None
5,4,3,17,4,21,None
5,5,4,11,6,17,None
5,6,3,1,4,5,None
6,1,6,44,2,46,None
6,2,1,42,2,44,None
6,3,2,36,6,42,None
6,4,2,30,6,36,None
6,5,1,11,1,12,None
6,6,4,9,2,11,None
7,1,6,28,1,29,None
7,2,1,25,3,28,None
7,3,3,21,4,25,None
7,4,5,13,1,14,None
7,5,3,0,1,1,None
8,1,6,23,2,25,None
8,2,3,13,4,17,None
8,3,1,12,1,13,None
8,4,2,6,6,12,None
8,5,2,0,6,6,None
9,1,6,42,1,43,None
9,2,1,41,1,42,None
9,3,4,38,3,41,None
9,4,1,36,2,38,None
9,5,6,29,6,35,None
9,6,4,23,6,29,None
10,1,6,19,2,21,None
10,2,6,13,6,19,None
10,3,5,10,3,13,None
10,4,6,9,1,10,None
10,5,4,3,6,9,None
10,6,1,0,3,3,None
