Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,12,5,17,None
1,2,5,22,3,25,None
1,3,6,25,2,27,None
1,4,1,34,1,35,None
1,5,3,37,1,38,None
1,6,4,45,3,48,None
2,1,2,0,6,6,None
2,2,3,14,1,15,None
2,3,1,18,2,20,None
2,4,4,25,6,31,None
2,5,1,43,1,44,None
3,1,2,24,6,30,None
3,2,6,36,2,38,None
3,3,1,38,1,39,None
3,4,3,39,4,43,None
3,5,1,44,1,45,None
4,1,1,29,1,30,None
4,2,2,30,6,36,None
4,3,3,38,1,39,None
4,4,5,43,3,46,None
4,5,6,46,2,48,None
5,1,5,14,3,17,None
5,2,1,17,1,18,None
5,3,2,18,6,24,None
5,4,3,27,4,31,None
5,5,4,31,6,37,None
5,6,3,43,4,47,None
6,1,6,2,2,4,None
6,2,1,4,2,6,None
6,3,2,6,6,12,None
6,4,2,12,6,18,None
6,5,1,36,1,37,None
6,6,4,37,2,39,None
7,1,6,19,1,20,None
7,2,1,20,3,23,None
7,3,3,23,4,27,None
7,4,5,34,1,35,None
7,5,3,47,1,48,None
8,1,6,23,2,25,None
8,2,3,31,4,35,None
8,3,1,35,1,36,None
8,4,2,36,6,42,None
8,5,2,42,6,48,None
9,1,6,5,1,6,None
9,2,1,6,1,7,None
9,3,4,7,3,10,None
9,4,1,10,2,12,None
9,5,6,13,6,19,None
9,6,4,19,6,25,None
10,1,6,27,2,29,None
10,2,6,29,6,35,None
10,3,5,35,3,38,None
10,4,6,38,1,39,None
10,5,4,39,6,45,None
10,6,1,45,3,48,None
