Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,21,1,22,None
1,2,1,23,3,26,None
1,3,2,27,6,33,None
1,4,4,42,7,49,None
1,5,6,51,3,54,None
1,6,5,54,6,60,None
2,1,2,1,8,9,None
2,2,3,13,5,18,None
2,3,5,18,10,28,None
2,4,6,28,10,38,None
2,5,1,45,10,55,None
2,6,4,55,4,59,None
3,1,3,0,5,5,None
3,2,4,5,4,9,None
3,3,6,9,8,17,None
3,4,1,36,9,45,None
3,5,2,45,1,46,None
3,6,5,47,7,54,None
4,1,2,12,5,17,None
4,2,1,17,5,22,None
4,3,3,22,5,27,None
4,4,4,27,3,30,None
4,5,5,30,8,38,None
4,6,6,38,9,47,None
5,1,3,30,9,39,None
5,2,2,39,3,42,None
5,3,5,42,5,47,None
5,4,6,47,4,51,None
5,5,1,56,3,59,None
5,6,4,59,1,60,None
6,1,2,9,3,12,None
6,2,4,14,3,17,None
6,3,6,17,9,26,None
6,4,1,26,10,36,None
6,5,5,38,4,42,None
6,6,3,52,1,53,None
