Job,Operation,Machine,Start,Duration,End,Worker
1,1,4,143,51,194,None
1,2,8,107,11,118,None
1,3,7,89,11,100,None
1,4,4,0,34,34,None
1,5,4,0,0,0,None
2,1,3,143,39,182,None
2,2,6,44,52,96,None
2,3,6,0,44,44,None
2,4,2,0,0,0,None
3,1,2,173,18,191,None
3,2,9,117,38,155,None
3,3,8,70,17,87,None
3,4,1,0,70,70,None
3,5,4,0,0,0,None
4,1,10,109,36,145,None
4,2,8,91,16,107,None
4,3,4,67,24,91,None
4,4,10,30,37,67,None
5,1,8,143,12,155,None
5,2,3,116,27,143,None
5,3,3,89,27,116,None
5,4,7,0,89,89,None
6,1,2,109,23,132,None
6,2,2,52,57,109,None
6,3,3,0,52,52,None
6,4,10,0,0,0,None
7,1,3,182,13,195,None
7,2,6,114,13,127,None
7,3,1,70,44,114,None
7,4,2,0,0,0,None
7,5,1,0,0,0,None
8,1,2,150,23,173,None
8,2,7,108,42,150,None
8,3,5,70,38,108,None
8,4,1,70,0,70,None
9,1,9,155,27,182,None
9,2,10,67,42,109,None
9,3,8,34,32,66,None
9,4,5,0,34,34,None
9,5,9,0,0,0,None
10,1,4,117,26,143,None
10,2,9,30,87,117,None
10,3,10,16,14,30,None
10,4,9,0,16,16,None
10,5,9,0,0,0,None
