Job,Operation,Machine,Start,Duration,End,Worker
1,1,9,61,25,86,None
1,2,1,86,31,117,None
1,3,8,117,33,150,None
1,4,10,150,92,242,None
2,1,4,40,29,69,None
2,2,10,69,25,94,None
2,3,4,154,40,194,None
2,4,4,194,48,242,None
3,1,5,22,72,94,None
3,2,10,94,56,150,None
3,3,5,232,10,242,None
3,4,6,242,0,242,None
3,5,10,242,0,242,None
4,1,9,120,11,131,None
4,2,6,131,27,158,None
4,3,7,158,21,179,None
4,4,3,179,0,179,None
4,5,2,210,0,210,None
5,1,5,0,22,22,None
5,2,2,81,39,120,None
5,3,2,120,80,200,None
5,4,8,200,21,221,None
6,1,7,35,41,76,None
6,2,8,76,41,117,None
6,3,3,162,17,179,None
6,4,8,221,21,242,None
7,1,8,7,45,52,None
7,2,1,52,34,86,None
7,3,3,103,59,162,None
7,4,9,196,14,210,None
7,5,2,210,32,242,None
8,1,2,40,41,81,None
8,2,7,117,41,158,None
8,3,6,215,27,242,None
8,4,6,242,0,242,None
8,5,9,242,0,242,None
9,1,1,143,13,156,None
9,2,9,175,15,190,None
9,3,6,190,20,210,None
9,4,7,210,0,210,None
9,5,2,210,0,210,None
10,1,4,121,33,154,None
10,2,1,156,23,179,None
10,3,3,179,63,242,None
