Job,Operation,Machine,Start,Duration,End,Worker
1,1,10,251,81,332,None
1,2,5,226,25,251,None
1,3,4,127,99,226,None
1,4,2,30,56,86,None
2,1,2,248,60,308,None
2,2,1,198,47,245,None
2,3,7,127,71,198,None
2,4,4,80,47,127,None
2,5,9,38,0,38,None
3,1,8,300,27,327,None
3,2,5,127,25,152,None
3,3,10,88,39,127,None
3,4,9,0,38,38,None
4,1,9,248,57,305,None
4,2,2,177,71,248,None
4,3,1,146,31,177,None
4,4,8,118,28,146,None
4,5,6,23,0,23,None
5,1,8,214,86,300,None
5,2,9,83,96,179,None
5,3,1,0,83,83,None
5,4,6,0,0,0,None
6,1,3,176,75,251,None
6,2,2,88,88,176,None
6,3,10,23,65,88,None
6,4,6,0,23,23,None
6,5,1,0,0,0,None
7,1,3,123,39,162,None
7,2,6,79,44,123,None
7,3,5,54,25,79,None
7,4,8,0,54,54,None
7,5,1,0,0,0,None
8,1,6,214,88,302,None
8,2,8,146,68,214,None
8,3,4,30,50,80,None
8,4,2,0,30,30,None
8,5,4,0,0,0,None
9,1,4,226,44,270,None
9,2,6,123,58,181,None
9,3,8,54,64,118,None
9,4,7,0,10,10,None
9,5,2,0,0,0,None
10,1,7,198,79,277,None
10,2,1,83,58,141,None
10,3,6,23,38,61,None
10,4,1,0,0,0,None
10,5,3,0,0,0,None
