Job,Operation,Machine,Start,Duration,End,Worker
1,1,10,0,81,81,None
1,2,5,81,25,106,None
1,3,4,106,99,205,None
1,4,2,246,56,302,None
2,1,2,24,60,84,None
2,2,1,87,47,134,None
2,3,7,134,71,205,None
2,4,4,205,47,252,None
2,5,9,294,0,294,None
3,1,8,5,27,32,None
3,2,5,180,25,205,None
3,3,10,205,39,244,None
3,4,9,294,38,332,None
4,1,9,27,57,84,None
4,2,2,84,71,155,None
4,3,1,155,31,186,None
4,4,8,186,28,214,None
4,5,6,309,0,309,None
5,1,8,32,86,118,None
5,2,9,153,96,249,None
5,3,1,249,83,332,None
5,4,6,332,0,332,None
6,1,3,81,75,156,None
6,2,2,156,88,244,None
6,3,10,244,65,309,None
6,4,6,309,23,332,None
6,5,1,332,0,332,None
7,1,3,170,39,209,None
7,2,6,209,44,253,None
7,3,5,253,25,278,None
7,4,8,278,54,332,None
7,5,1,332,0,332,None
8,1,6,30,88,118,None
8,2,8,118,68,186,None
8,3,4,252,50,302,None
8,4,2,302,30,332,None
8,5,4,332,0,332,None
9,1,4,62,44,106,None
9,2,6,151,58,209,None
9,3,8,214,64,278,None
9,4,7,322,10,332,None
9,5,2,332,0,332,None
10,1,7,55,79,134,None
10,2,1,191,58,249,None
10,3,6,271,38,309,None
10,4,1,332,0,332,None
10,5,3,332,0,332,None
