Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,2,2,4,None
1,2,4,5,4,9,None
1,3,8,9,2,11,None
2,1,1,5,4,9,None
2,2,4,12,3,15,None
2,3,9,15,4,19,None
3,1,2,9,5,14,None
3,2,5,19,2,21,None
3,3,8,22,2,24,None
4,1,2,4,3,7,None
4,2,5,9,5,14,None
4,3,6,16,3,19,None
5,1,3,4,3,7,None
5,2,5,14,1,15,None
5,3,7,15,4,19,None
6,1,3,11,4,15,None
6,2,4,19,2,21,None
6,3,7,21,3,24,None
7,1,2,7,2,9,None
7,2,4,15,4,19,None
7,3,8,19,3,22,None
8,1,3,0,4,4,None
8,2,5,4,5,9,None
8,3,7,9,3,12,None
9,1,1,0,2,2,None
9,2,5,2,2,4,None
9,3,9,4,5,9,None
10,1,1,2,3,5,None
10,2,4,9,3,12,None
10,3,6,12,4,16,None
11,1,2,0,2,2,None
11,2,4,2,3,5,None
11,3,6,5,6,11,None
12,1,3,7,4,11,None
12,2,5,15,4,19,None
12,3,6,19,3,22,None
