Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,7,2,9,None
1,2,4,14,4,18,None
1,3,8,18,2,20,None
2,1,2,9,5,14,None
2,2,4,18,3,21,None
2,3,6,21,3,24,None
3,1,1,5,6,11,None
3,2,5,13,2,15,None
3,3,8,15,2,17,None
4,1,2,2,3,5,None
4,2,5,8,5,13,None
4,3,6,15,3,18,None
5,1,3,8,3,11,None
5,2,5,15,1,16,None
5,3,6,18,3,21,None
6,1,3,4,4,8,None
6,2,4,12,2,14,None
6,3,7,14,3,17,None
7,1,2,5,2,7,None
7,2,4,8,4,12,None
7,3,6,12,3,15,None
8,1,1,11,3,14,None
8,2,5,16,5,21,None
8,3,7,21,3,24,None
9,1,1,0,2,2,None
9,2,5,2,2,4,None
9,3,9,4,5,9,None
10,1,1,2,3,5,None
10,2,4,5,3,8,None
10,3,8,8,6,14,None
11,1,2,0,2,2,None
11,2,4,2,3,5,None
11,3,6,5,6,11,None
12,1,3,0,4,4,None
12,2,5,4,4,8,None
12,3,7,8,4,12,None
