Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,0,1,1,None
1,2,1,1,3,4,None
1,3,2,14,6,20,None
1,4,4,20,7,27,None
1,5,6,31,3,34,None
1,6,5,34,6,40,None
2,1,2,3,8,11,None
2,2,3,15,5,20,None
2,3,5,20,10,30,None
2,4,6,34,10,44,None
2,5,1,44,10,54,None
2,6,4,54,4,58,None
3,1,3,10,5,15,None
3,2,4,15,4,19,None
3,3,6,23,8,31,None
3,4,1,33,9,42,None
3,5,2,42,1,43,None
3,6,5,49,7,56,None
4,1,2,20,5,25,None
4,2,1,28,5,33,None
4,3,3,33,5,38,None
4,4,4,38,3,41,None
4,5,5,41,8,49,None
4,6,6,49,9,58,None
5,1,3,1,9,10,None
5,2,2,11,3,14,None
5,3,5,14,5,19,None
5,4,6,19,4,23,None
5,5,1,25,3,28,None
5,6,4,28,1,29,None
6,1,2,0,3,3,None
6,2,4,3,3,6,None
6,3,6,6,9,15,None
6,4,1,15,10,25,None
6,5,5,30,4,34,None
6,6,3,38,1,39,None
