Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,9,1,10,None
1,2,1,10,3,13,None
1,3,2,19,6,25,None
1,4,4,25,7,32,None
1,5,6,41,3,44,None
1,6,5,46,6,52,None
2,1,2,3,8,11,None
2,2,3,15,5,20,None
2,3,5,20,10,30,None
2,4,6,31,10,41,None
2,5,1,42,10,52,None
2,6,4,52,4,56,None
3,1,3,10,5,15,None
3,2,4,15,4,19,None
3,3,6,19,8,27,None
3,4,1,30,9,39,None
3,5,2,39,1,40,None
3,6,5,52,7,59,None
4,1,2,14,5,19,None
4,2,1,25,5,30,None
4,3,3,30,5,35,None
4,4,4,35,3,38,None
4,5,5,38,8,46,None
4,6,6,46,9,55,None
5,1,3,0,9,9,None
5,2,2,11,3,14,None
5,3,5,14,5,19,None
5,4,6,27,4,31,None
5,5,1,39,3,42,None
5,6,4,42,1,43,None
6,1,2,0,3,3,None
6,2,4,3,3,6,None
6,3,6,6,9,15,None
6,4,1,15,10,25,None
6,5,5,30,4,34,None
6,6,3,35,1,36,None
