Job,Operation,Machine,Start,Duration,End,Worker
1,1,4,0,45,45,None
1,2,2,46,38,84,None
1,3,3,88,43,131,None
1,4,1,152,33,185,None
2,1,2,0,46,46,None
2,2,1,58,42,100,None
2,3,4,123,41,164,None
2,4,5,164,29,193,None
3,1,1,0,35,35,None
3,2,5,35,52,87,None
3,3,2,87,54,141,None
3,4,1,210,0,210,None
4,1,3,0,45,45,None
4,2,4,45,54,99,None
4,3,5,99,46,145,None
4,4,7,145,47,192,None
4,5,5,193,0,193,None
5,1,6,0,34,34,None
5,2,4,164,26,190,None
5,3,1,210,45,255,None
6,1,1,35,23,58,None
6,2,6,58,28,86,None
6,3,1,185,25,210,None
6,4,3,210,45,255,None
7,1,3,45,43,88,None
7,2,6,88,47,135,None
7,3,4,190,48,238,None
7,4,1,255,0,255,None
8,1,4,99,24,123,None
8,2,1,123,29,152,None
8,3,6,152,32,184,None
8,4,7,192,27,219,None
